,米CPI(前年比),米コアCPI(前年比),米2年債利回り(金利パス),米失業率,米雇用者数(非農業),米GDP,米小売売上(前年比),日経平均,ドル円
米CPI(前年比),1.00,+0.38,-0.25,-0.22,+0.21,+0.24,+0.29,+0.22,-0.17
米コアCPI(前年比),+0.38,1.00,-0.20,+0.32,-0.35,+0.46,+0.32,-0.26,+0.13
米2年債利回り(金利パス),-0.25,-0.20,1.00,-0.51,+0.56,-0.38,-0.28,-0.14,+0.19
米失業率,-0.22,+0.32,-0.51,1.00,-0.93,+0.79,+0.50,-0.19,-0.08
米雇用者数(非農業),+0.21,-0.35,+0.56,-0.93,1.00,-0.79,-0.53,+0.20,+0.08
米GDP,+0.24,+0.46,-0.38,+0.79,-0.79,1.00,+0.61,-0.39,-0.28
米小売売上(前年比),+0.29,+0.32,-0.28,+0.50,-0.53,+0.61,1.00,+0.19,+0.20
日経平均,+0.22,-0.26,-0.14,-0.19,+0.20,-0.39,+0.19,1.00,+0.33
ドル円,-0.17,+0.13,+0.19,-0.08,+0.08,-0.28,+0.20,+0.33,1.00
