;;;;2000;2000;2000;2000;2001;2001;2001;2001;2002;2002;2002;2002;2003;2003;2003;2003;2004;2004;2004;2004;2005;2005;2005;2005;2006;2006;2006;2006;2007;2007;2007;2007;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012;2012;2012;2012;2013;2013;2013;2013;2014;2014;2014;2014;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024;2025;2025;2025;2025
;;;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal
Originalwerte;preisbereinigt, Kettenindex (2020=100);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;4,2;3,9;2,4;1,1;2,3;1,5;1,4;1,4;-1,8;0,0;0,8;0,1;-0,3;-1,2;-0,6;-0,1;1,7;1,9;0,2;0,8;-0,5;1,3;1,4;1,3;4,3;2,7;3,5;4,8;4,0;3,0;2,7;1,9;1,8;2,8;0,9;-1,9;-6,7;-7,7;-5,3;-2,5;2,6;4,7;4,6;4,6;6,1;3,8;3,2;2,0;1,6;0,3;0,0;-0,1;-1,7;0,9;1,2;1,1;3,2;1,3;1,7;2,5;1,2;1,6;1,6;2,1;2,1;3,5;1,8;1,4;3,6;1,5;2,8;3,3;1,4;2,2;0,4;0,4;1,2;0,1;2,0;0,6;-1,5;-10,8;-3,2;-1,1;-0,7;12,0;2,8;2,4;4,0;1,5;1,6;0,2;0,0;-1,1;-1,3;-1,0;-1,1;-0,3;-0,2;-0,4;0,0;-0,1;0,3;...
Originalwerte;preisbereinigt, Kettenindex (2020=100);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;81,250;81,880;83,200;83,980;83,080;83,020;84,290;85,090;81,470;82,930;84,890;85,140;81,220;81,990;84,430;85,140;82,690;83,660;84,730;85,960;82,410;84,860;86,020;87,240;86,110;87,340;89,250;91,680;89,790;90,140;91,870;93,640;91,660;92,950;92,970;92,140;85,830;86,130;88,330;90,150;88,370;90,410;92,650;94,430;93,880;93,890;95,590;96,290;95,250;94,020;95,490;96,130;93,550;94,730;96,500;96,980;96,360;95,720;97,870;98,960;96,960;96,560;98,700;100,280;98,290;99,290;99,890;101,210;101,510;100,570;102,530;104,390;102,820;102,660;102,840;104,720;103,930;102,660;104,870;105,390;102,350;91,640;101,640;104,370;101,800;102,820;104,670;107,010;106,080;103,700;105,360;105,960;104,410;101,690;103,280;104,230;102,890;101,050;102,830;103,650;102,800;100,930;103,200;...
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);Bruttowertschöpfung;jew. ME;617,849;620,949;635,055;639,240;634,125;632,032;645,673;650,478;623,817;635,830;651,175;652,880;621,414;626,917;649,858;651,795;632,807;644,510;652,803;660,011;631,645;652,105;660,243;668,923;658,693;669,931;685,664;701,862;687,137;693,647;706,512;719,765;701,164;715,347;713,720;703,722;650,168;653,035;670,551;683,881;672,334;686,671;703,567;717,130;710,542;713,565;727,283;732,553;723,098;716,432;727,128;731,855;711,085;722,478;736,428;742,008;735,731;731,933;750,301;759,369;741,931;744,023;761,074;773,242;757,431;771,692;774,947;785,642;785,565;781,922;799,128;812,845;799,283;799,980;801,685;817,186;806,723;798,740;815,636;818,968;797,655;709,767;786,572;806,103;785,642;792,927;815,481;832,144;822,688;810,365;827,338;835,554;826,563;801,918;815,791;834,159;818,038;806,025;815,946;819,511;813,155;800,678;818,193;...
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);Gütersteuern abzügl. Gütersubventionen;jew. ME;78,057;80,731;77,733;80,994;77,286;79,539;76,927;79,732;74,525;75,209;77,049;77,926;74,954;75,980;73,832;78,320;75,445;71,632;72,535;76,024;73,087;73,236;75,165;76,918;76,410;75,252;75,664;80,170;77,479;73,587;75,375;77,120;77,251;74,043;75,489;77,724;75,910;75,112;76,076;77,970;73,175;75,813;77,838;79,434;80,626;77,979;79,083;80,293;81,029;77,549;79,530;80,407;79,600;78,759;80,258;79,215;80,503;79,635;80,661;82,265;84,141;80,670;83,334;86,218;86,280;82,274;84,816;86,104;88,751;84,824;84,982;87,629;87,875;86,209;86,332;87,323;90,610;87,954;90,066;91,013;86,095;80,924;90,014;93,590;91,644;92,775;85,850;89,286;89,865;88,646;88,734;87,919;85,885;87,086;88,155;79,977;84,167;80,258;86,586;91,276;89,426;84,982;87,025;...
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);Bruttoinlandsprodukt;jew. ME;694,802;700,324;711,970;719,130;710,676;710,503;721,977;729,396;697,736;710,417;727,584;730,086;695,665;702,222;723,271;729,482;707,570;715,766;724,996;735,521;704,206;724,996;734,917;745,356;734,572;744,752;760,884;781,502;764,162;766,923;781,502;796,512;778,137;788,748;788,662;781,157;726,204;728,102;746,563;761,746;745,356;762,350;781,243;796,426;791,164;791,336;806,174;812,645;804,018;793,752;806,433;812,041;790,646;800,998;816,440;820,840;816,009;811,264;830,588;841,372;826,102;824,377;844,219;859,402;843,787;853,536;859,574;871,566;874,326;866,476;883,729;900,120;886,921;885,886;887,698;904,089;897,360;886,490;905,555;909,869;883,471;790,732;876,655;899,862;877,259;885,714;901,328;921,429;912,457;898,913;915,907;923,240;912,198;888,905;903,830;913,751;902,104;886,317;902,191;910,127;902,191;885,368;904,951;...
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Bruttowertschöpfung;jew. ME;473,715;476,095;486,909;490,143;483,310;481,695;492,066;495,756;481,468;490,699;502,539;503,849;485,638;489,942;507,838;509,403;500,251;509,506;516,074;521,794;504,567;520,941;527,411;534,324;528,183;537,175;549,784;562,760;552,739;557,990;568,308;578,988;568,431;579,939;578,589;570,523;531,576;533,874;548,190;559,084;562,603;574,560;588,737;600,081;598,460;600,994;612,550;616,992;614,649;609,023;618,066;622,091;613,108;622,917;634,961;639,785;645,765;642,409;658,559;666,546;663,339;665,252;680,511;691,355;690,502;703,488;706,446;716,219;725,180;721,774;737,691;750,357;748,425;749,115;750,724;765,193;769,445;761,817;777,940;781,121;778,334;692,579;767,543;786,588;785,613;792,909;815,444;832,124;840,027;827,459;844,752;853,184;900,750;873,931;889,070;909,083;961,643;947,468;959,181;963,395;978,205;963,219;984,343;...
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Gütersteuern abzügl. Gütersubventionen;jew. ME;51,668;53,438;51,456;53,611;52,185;53,704;51,939;53,833;51,830;52,304;53,588;54,196;54,077;54,813;53,266;56,504;55,985;53,155;53,825;56,417;55,385;55,498;56,956;58,286;59,031;58,137;58,452;61,937;60,805;57,750;59,154;60,520;67,824;65,013;66,281;68,240;67,905;67,187;68,055;69,745;64,815;67,157;68,945;70,363;72,158;69,793;70,778;71,857;75,265;72,030;73,872;74,686;75,016;74,226;75,636;74,654;78,656;77,804;78,808;80,374;83,965;80,499;83,160;86,035;86,113;82,113;84,650;85,937;89,687;85,726;85,878;88,556;90,310;88,600;88,730;89,742;95,034;92,251;94,467;95,458;89,919;84,515;94,008;97,742;91,643;92,777;85,852;89,282;97,040;95,721;95,813;94,932;96,129;97,469;98,668;89,517;90,161;85,968;92,746;97,769;106,507;101,218;103,643;...
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Bruttoinlandsprodukt;jew. ME;525,383;529,533;538,365;543,754;535,495;535,399;544,005;549,589;533,298;543,003;556,127;558,045;539,715;544,755;561,104;565,907;556,236;562,661;569,899;578,211;559,952;576,439;584,367;592,610;587,214;595,312;608,236;624,697;613,544;615,740;627,462;639,508;636,255;644,952;644,870;638,763;599,481;601,061;616,245;628,829;627,418;641,717;657,682;670,444;670,618;670,787;683,328;688,849;689,914;681,053;691,938;696,777;688,124;697,143;710,597;714,439;724,421;720,213;737,367;746,920;747,304;745,751;763,671;777,390;776,615;785,601;791,096;802,156;814,867;807,500;823,569;838,913;838,735;837,715;839,454;854,935;864,479;854,068;872,407;876,579;868,253;777,094;861,551;884,330;877,256;885,686;901,296;921,406;937,067;923,180;940,565;948,116;996,879;971,400;987,738;998,600;1051,804;1033,436;1051,927;1061,164;1084,712;1064,437;1087,986;...
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...
