＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161060018,FUT_225_260611,,202606,,62720,62699,62654.05,,0.8944,29,日経225
161090018,FUT_225_260910,,202609,,62840,62851,62654.05,,1.3609,120,日経225
161120018,FUT_225_261210,,202612,,62680,62719,62654.05,,1.3309,211,日経225
162030018,FUT_225_270311,,202703,,62830,62836,62654.05,,1.3309,302,日経225
162060018,FUT_225_270610,,202706,,62710,62681,62654.05,,1.3309,393,日経225
162090018,FUT_225_270909,,202709,,62910,62807,62654.05,,1.3309,484,日経225
162120018,FUT_225_271209,,202712,,62840,62684,62654.05,,1.3309,575,日経225
163060018,FUT_225_280608,,202806,,63010,62650,62654.05,,1.3309,757,日経225
163120018,FUT_225_281207,,202812,,63250,62656,62654.05,,1.3309,939,日経225
164060018,FUT_225_290607,,202906,,63510,62627,62654.05,,1.3309,1121,日経225
164120018,FUT_225_291213,,202912,,63870,62652,62654.05,,1.3309,1310,日経225
165060018,FUT_225_300613,,203006,,64210,62627,62654.05,,1.3309,1492,日経225
165120018,FUT_225_301212,,203012,,64620,62640,62654.05,,1.3309,1674,日経225
166060018,FUT_225_310612,,203106,,65020,62619,62654.05,,1.3309,1856,日経225
166120018,FUT_225_311211,,203112,,65470,62636,62654.05,,1.3309,2038,日経225
167060018,FUT_225_320610,,203206,,65890,62618,62654.05,,1.3309,2220,日経225
167120018,FUT_225_321209,,203212,,66360,62638,62654.05,,1.3309,2402,日経225
168060018,FUT_225_330609,,203306,,66830,62625,62654.05,,1.3309,2584,日経225
168120018,FUT_225_331208,,203312,,67350,62648,62654.05,,1.3309,2766,日経225
161060019,FUT_225M_260611,,202606,,62720,62699,62654.05,,0.8944,29,日経225
161070019,FUT_225M_260709,,202607,,62820,62695,62654.05,,0.8944,57,日経225
161080019,FUT_225M_260813,,202608,,62885,62801,62654.05,,1.238,92,日経225
161090019,FUT_225M_260910,,202609,,62840,62851,62654.05,,1.3609,120,日経225
161100019,FUT_225M_261008,,202610,,62605,62583,62654.05,,1.3609,148,日経225
161120019,FUT_225M_261210,,202612,,62680,62719,62654.05,,1.3309,211,日経225
162030019,FUT_225M_270311,,202703,,62830,62836,62654.05,,1.3309,302,日経225
162060019,FUT_225M_270610,,202706,,62710,62681,62654.05,,1.3309,393,日経225
162090019,FUT_225M_270909,,202709,,62910,62807,62654.05,,1.3309,484,日経225
162120019,FUT_225M_271209,,202712,,62840,62684,62654.05,,1.3309,575,日経225
163060019,FUT_225M_280608,,202806,,63010,62650,62654.05,,1.3309,757,日経225
163120019,FUT_225M_281207,,202812,,63250,62656,62654.05,,1.3309,939,日経225
164060019,FUT_225M_290607,,202906,,63510,62627,62654.05,,1.3309,1121,日経225
164120019,FUT_225M_291213,,202912,,63870,62652,62654.05,,1.3309,1310,日経225
165060019,FUT_225M_300613,,203006,,64210,62627,62654.05,,1.3309,1492,日経225
165120019,FUT_225M_301212,,203012,,64620,62640,62654.05,,1.3309,1674,日経225
161060023,FUT_225MC_260611,,202606,,62720,62699,62654.05,,0.8944,29,日経225
161070023,FUT_225MC_260709,,202607,,62820,62695,62654.05,,0.8944,57,日経225
161080023,FUT_225MC_260813,,202608,,62885,62801,62654.05,,1.238,92,日経225
161090023,FUT_225MC_260910,,202609,,62840,62851,62654.05,,1.3609,120,日経225
161060005,FUT_TPX_260611,,202606,,3883,3881.9,3879.27,,0.8944,29,TOPIX
161090005,FUT_TPX_260910,,202609,,3889.5,3891.6,3879.27,,1.3609,120,TOPIX
161120005,FUT_TPX_261210,,202612,,3872.5,3871.6,3879.27,,1.3309,211,TOPIX
162030005,FUT_TPX_270311,,202703,,3880,3879,3879.27,,1.3309,302,TOPIX
162060005,FUT_TPX_270610,,202706,,3857,3855.8,3879.27,,1.3309,393,TOPIX
162090005,FUT_TPX_270909,,202709,,3865,3863.7,3879.27,,1.3309,484,TOPIX
162120005,FUT_TPX_271209,,202712,,3845.5,3844.5,3879.27,,1.3309,575,TOPIX
163060005,FUT_TPX_280608,,202806,,3830.5,3829.2,3879.27,,1.3309,757,TOPIX
163120005,FUT_TPX_281207,,202812,,3819.5,3818.4,3879.27,,1.3309,939,TOPIX
164060005,FUT_TPX_290607,,202906,,3804.5,3803.5,3879.27,,1.3309,1121,TOPIX
164120005,FUT_TPX_291213,,202912,,3795,3794,3879.27,,1.3309,1310,TOPIX
165060005,FUT_TPX_300613,,203006,,3780.5,3779.6,3879.27,,1.3309,1492,TOPIX
165120005,FUT_TPX_301212,,203012,,3770.5,3769.5,3879.27,,1.3309,1674,TOPIX
161060006,FUT_TPXM_260611,,202606,,3883,3881.89,3879.27,,0.8944,29,TOPIX
161090006,FUT_TPXM_260910,,202609,,3889.5,3891.57,3879.27,,1.3609,120,TOPIX
161120006,FUT_TPXM_261210,,202612,,3872.5,3871.6,3879.27,,1.3309,211,TOPIX
161060022,FUT_400_260611,,202606,,35440,35420,35395.77,,0.8944,29,JPX日経400
161090022,FUT_400_260910,,202609,,35525,35503,35395.77,,1.3609,120,JPX日経400
161120022,FUT_400_261210,,202612,,35350,35330,35395.77,,1.3309,211,JPX日経400
162030022,FUT_400_270311,,202703,,35410,35392,35395.77,,1.3309,302,JPX日経400
162060022,FUT_400_270610,,202706,,35220,35202,35395.77,,1.3309,393,JPX日経400
161060012,FUT_JP150_260611,,202606,,1621,1621,1619.91,,0.8944,29,JPXプライム150指数
161090012,FUT_JP150_260910,,202609,,1625,1625,1619.91,,1.3609,120,JPXプライム150指数
161120012,FUT_JP150_261210,,202612,,1616.5,1616.7,1619.91,,1.3309,211,JPXプライム150指数
162030012,FUT_JP150_270311,,202703,,1620,1619.8,1619.91,,1.3309,302,JPXプライム150指数
162060012,FUT_JP150_270610,,202706,,1610,1610.1,1619.91,,1.3309,393,JPXプライム150指数
161060063,FUT_C30_260611,,202606,,1977,1977.1,1975.71,,0.8944,29,TOPIX Core30
161090063,FUT_C30_260910,,202609,,1983.5,1983.4,1975.71,,1.3609,120,TOPIX Core30
