＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
162030063,FUT_C30_270311,,202703,,1987.5,1987.5,1988.41,,1.3759,273,TOPIX Core30
161090065,FUT_SJESG_260910,,202609,,4517,4517.1,4507.45,,1.3783,91,S&P/JPX 500ESGスコア・ティルト指数
161120065,FUT_SJESG_261210,,202612,,4494,4493.9,4507.45,,1.4959,182,S&P/JPX 500ESGスコア・ティルト指数
162030065,FUT_SJESG_270311,,202703,,4500,4500.1,4507.45,,1.3759,273,S&P/JPX 500ESGスコア・ティルト指数
161090066,FUT_FJNZR_260910,,202609,,2543.5,2543.6,2538.22,,1.3783,91,FTSE JPXネットゼロ・ジャパン500指数
161120066,FUT_FJNZR_261210,,202612,,2530.5,2530.6,2538.22,,1.4959,182,FTSE JPXネットゼロ・ジャパン500指数
162030066,FUT_FJNZR_270311,,202703,,2534,2534.1,2538.22,,1.3759,273,FTSE JPXネットゼロ・ジャパン500指数
161090067,FUT_NKC15_260910,,202609,,64970,64974,64836.49,,1.3783,91,日経平均気候変動指数
161120067,FUT_NKC15_261210,,202612,,64890,64886,64836.49,,1.4959,182,日経平均気候変動指数
162030067,FUT_NKC15_270311,,202703,,64980,64977,64836.49,,1.3759,273,日経平均気候変動指数
161090032,FUT_BANK_260910,,202609,,674.9,674.9,672.61,,1.3783,91,東証銀行
161120032,FUT_BANK_261210,,202612,,669,669,672.61,,1.4959,182,東証銀行
162030032,FUT_BANK_270311,,202703,,670.9,670.9,672.61,,1.3759,273,東証銀行
161090069,FUT_REIT_260910,,202609,,1772.5,1772.4,1795.78,,1.3783,91,東証REIT
161120069,FUT_REIT_261210,,202612,,1765,1765.2,1795.78,,1.4959,182,東証REIT
162030069,FUT_REIT_270311,,202703,,1738.5,1738.3,1795.78,,1.3759,273,東証REIT
161060073,FUT_DJIA_260618,,202606,,50894,,50848.75,,,7,NYダウ
161090073,FUT_DJIA_260918,,202609,,51358,,50848.75,,,104,NYダウ
161120073,FUT_DJIA_261218,,202612,,51618,,50848.75,,,192,NYダウ
162030073,FUT_DJIA_270319,,202703,,52026,,50848.75,,,284,NYダウ
161090076,FUT_RNP_260910,,202609,,1703.5,1703.6,1700,,1.3783,91,RNP
161120076,FUT_RNP_261210,,202612,,1695,1694.9,1700,,1.4959,182,RNP
162030076,FUT_RNP_270311,,202703,,1697,1697.2,1700,,1.3759,273,RNP
162060076,FUT_RNP_270610,,202706,,1686,1686.2,1700,,1.3759,364,RNP
162090076,FUT_RNP_270909,,202709,,1690,1689.8,1700,,1.3759,455,RNP
161120017,FUT_NKDV_270331,,202612,,943,,,,,293,日経平均配当
162120017,FUT_NKDV_280331,,202712,,1118,,,,,661,日経平均配当
163120017,FUT_NKDV_290330,,202812,,1187.5,,,,,1025,日経平均配当
164120017,FUT_NKDV_300329,,202912,,1220,,,,,1389,日経平均配当
