NK225E    ,OOP,202604  ,000000033000.000000,            ,181043018,0000035.0000,0000000.0,0000032.95,0.822206,191043018,0000000.0000,0000000.0,0020407.03,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000033250.000000,            ,131043218,0000031.0000,0000000.0,0000036.34,0.816704,141043218,0000000.0000,0000000.0,0020158.27,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000033500.000000,            ,131043518,0000037.0000,0000000.0,0000035.47,0.808017,141043518,0000000.0000,0000000.0,0019909.52,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000033750.000000,            ,131043718,0000035.0000,0000000.0,0000037.30,0.797291,141043718,0000000.0000,0000000.0,0019660.76,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000034000.000000,            ,181044018,0000040.0000,0000000.0,0000040.00,0.793236,191044018,0000000.0000,0000000.0,0019413.58,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000034250.000000,            ,131044218,0000036.0000,0000000.0,0000040.10,0.781982,141044218,0000000.0000,0000000.0,0019164.31,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000034500.000000,            ,131044518,0000037.0000,0000000.0,0000040.69,0.775420,141044518,0000000.0000,0000000.0,0018915.56,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000034750.000000,            ,131044718,0000036.0000,0000000.0,0000043.81,0.771355,141044718,0000000.0000,0000000.0,0018667.97,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000035000.000000,            ,181045018,0000044.0000,0000000.0,0000043.99,0.757482,191045018,0000000.0000,0000000.0,0018419.11,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000035250.000000,            ,131045218,0000041.0000,0000000.0,0000048.39,0.750806,141045218,0000000.0000,0000000.0,0018171.54,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000035500.000000,            ,131045518,0000053.0000,0000000.0,0000047.04,0.741810,141045518,0000000.0000,0000000.0,0017922.80,0.010000,0053700.39,0.314400
NK225E    ,OOP,202604  ,000000035750.000000,            ,131045718,0000045.0000,0000000.0,0000048.14,0.736932,141045718,0000000.0000,0000000.0,0017675.00,0.010000,0053700.39,0.314400
