date,total_pcr,index_pcr,etp_pcr,equity_pcr,vix_pcr,spx_pcr
12/04/2019,0.98,1.45,1.26,0.54,0.92,1.80
12/05/2019,1.08,1.62,1.63,0.65,0.53,2.01
12/06/2019,0.88,1.23,1.14,0.53,0.56,1.55
12/09/2019,1.02,1.54,1.06,0.64,0.79,2.30
12/10/2019,0.98,1.30,0.83,0.76,0.71,1.99
12/11/2019,0.98,1.45,1.33,0.52,1.43,1.67
12/12/2019,0.72,1.11,0.72,0.45,0.73,1.29
12/13/2019,1.10,1.79,0.89,0.55,1.98,1.85
12/16/2019,0.87,1.09,0.91,0.61,1.41,1.27
12/17/2019,0.63,0.70,0.71,0.53,0.37,1.53
12/18/2019,1.06,1.21,2.56,0.49,0.46,2.07
12/19/2019,0.78,1.14,0.95,0.54,0.53,1.35
12/20/2019,0.79,1.10,1.33,0.46,0.63,1.26
12/23/2019,0.80,1.20,0.98,0.54,0.22,1.52
12/24/2019,0.80,1.88,0.71,0.52,0.46,2.23
12/26/2019,0.79,1.67,1.10,0.43,0.28,1.90
12/27/2019,0.87,1.29,0.91,0.60,0.57,1.71
12/30/2019,0.90,1.25,0.94,0.59,1.01,1.46
12/31/2019,0.96,1.22,1.22,0.56,0.75,1.51
01/02/2020,0.83,1.30,0.99,0.54,0.48,1.88
01/03/2020,0.85,1.36,0.75,0.55,0.54,2.10
01/06/2020,0.83,1.28,0.78,0.54,0.46,1.89
01/07/2020,0.83,1.21,1.66,0.44,0.40,1.79
01/08/2020,0.76,1.01,1.06,0.47,0.28,1.51
01/09/2020,0.66,0.85,0.71,0.49,0.25,1.36
01/10/2020,0.86,1.39,0.92,0.52,0.67,1.99
01/13/2020,0.76,1.11,1.09,0.47,0.36,1.55
01/14/2020,0.76,1.20,1.00,0.47,0.44,1.73
01/15/2020,0.75,1.11,0.95,0.44,0.17,1.68
01/16/2020,0.71,0.84,0.99,0.47,0.18,1.62
01/17/2020,0.66,0.78,0.93,0.48,0.25,1.45
01/21/2020,0.83,1.18,0.91,0.59,0.60,1.88
01/22/2020,0.82,1.14,1.11,0.52,0.38,1.94
01/23/2020,0.76,1.09,0.86,0.54,0.29,1.97
01/24/2020,1.10,1.59,1.29,0.70,0.82,2.25
01/27/2020,1.01,1.30,1.19,0.64,0.52,1.95
01/28/2020,0.80,1.03,1.05,0.55,0.32,1.69
01/29/2020,0.83,1.44,1.26,0.50,0.62,2.00
01/30/2020,0.86,1.22,0.99,0.61,0.42,1.69
01/31/2020,1.07,1.15,1.46,0.74,0.46,1.82
02/03/2020,0.72,1.15,0.62,0.50,0.33,1.89
02/04/2020,0.82,1.35,1.15,0.46,0.59,1.70
02/05/2020,0.94,1.23,1.77,0.51,0.42,1.56
02/06/2020,0.71,0.93,1.07,0.47,0.53,1.52
02/07/2020,0.95,1.34,1.60,0.56,0.54,1.94
02/10/2020,0.84,1.36,1.25,0.46,0.55,1.83
02/11/2020,0.72,0.93,0.95,0.45,0.69,1.38
02/12/2020,0.70,1.02,0.74,0.48,0.23,1.76
02/13/2020,0.80,1.15,0.95,0.55,0.39,1.88
02/14/2020,0.83,1.10,1.14,0.58,0.42,1.67
02/18/2020,0.78,1.06,0.84,0.51,0.48,1.79
02/19/2020,0.81,1.35,0.92,0.45,0.33,2.04
02/20/2020,0.84,1.22,1.11,0.51,0.49,1.82
02/21/2020,1.15,1.60,1.45,0.73,0.85,2.08
02/24/2020,1.09,1.18,1.47,0.70,0.44,2.15
02/25/2020,1.31,1.30,1.99,0.80,0.55,2.38
02/26/2020,1.23,1.49,1.75,0.65,0.74,2.05
02/27/2020,1.31,1.59,1.48,0.86,0.72,2.35
02/28/2020,1.27,1.51,1.33,0.85,0.65,2.19
03/02/2020,1.29,1.70,1.32,0.76,2.49,1.54
03/03/2020,0.80,0.71,1.12,0.73,0.39,1.29
03/04/2020,1.25,1.17,2.60,0.64,0.75,1.33
03/05/2020,0.88,0.83,1.10,0.78,0.39,1.90
03/06/2020,1.18,1.40,1.10,0.89,0.88,2.29
03/09/2020,1.83,2.30,1.79,1.12,2.31,2.33
03/10/2020,1.19,1.60,1.05,0.75,1.16,1.90
03/11/2020,1.36,1.59,1.23,1.02,1.10,2.27
03/12/2020,1.46,1.41,1.79,1.28,1.17,1.56
03/13/2020,1.27,1.36,1.40,1.00,1.04,1.58
03/16/2020,1.28,1.25,1.53,1.10,0.82,1.75
03/17/2020,1.01,0.99,1.35,0.86,0.35,2.03
03/18/2020,1.33,1.58,1.30,0.98,0.70,2.48
03/19/2020,1.12,1.33,1.08,0.88,1.37,1.30
03/20/2020,1.23,1.47,1.42,0.83,1.61,1.42
03/23/2020,1.09,1.66,1.07,0.62,2.67,1.36
03/24/2020,0.88,1.07,1.02,0.63,1.00,1.16
03/25/2020,0.95,1.06,1.25,0.65,0.91,1.11
03/26/2020,0.97,1.32,1.31,0.58,0.96,1.44
03/27/2020,1.07,1.36,1.29,0.70,1.20,1.43
03/30/2020,1.07,1.35,1.21,0.68,2.16,1.38
03/31/2020,1.14,1.32,1.35,0.70,1.30,1.38
04/01/2020,1.19,1.49,1.31,0.86,1.14,1.63
04/02/2020,1.21,1.57,1.51,0.82,1.62,1.57
04/03/2020,1.08,1.39,1.13,0.83,0.66,1.72
04/06/2020,0.97,1.23,1.07,0.69,1.14,1.27
04/07/2020,0.95,1.22,1.16,0.65,1.67,1.12
04/08/2020,1.00,1.31,1.16,0.65,1.11,1.39
04/09/2020,0.98,1.19,1.22,0.65,0.81,1.27
04/13/2020,0.91,1.19,1.02,0.65,0.95,1.30
04/14/2020,0.99,1.48,1.15,0.58,1.79,1.31
04/15/2020,0.99,1.13,1.38,0.70,0.45,1.53
04/16/2020,0.91,1.41,1.25,0.59,0.84,1.55
04/17/2020,0.92,1.23,1.22,0.60,0.79,1.33
04/20/2020,0.93,1.55,1.07,0.55,1.13,1.54
04/21/2020,1.09,1.35,1.45,0.69,0.85,1.60
04/22/2020,0.91,1.36,1.06,0.66,0.90,1.41
04/23/2020,0.87,1.33,1.13,0.59,0.65,1.69
04/24/2020,1.02,1.61,1.35,0.60,2.05,1.50
04/27/2020,1.05,1.74,1.36,0.58,1.95,1.66
04/28/2020,0.96,1.65,1.31,0.56,1.76,1.61
04/29/2020,1.02,1.62,1.54,0.53,2.19,1.44
04/30/2020,0.96,1.41,1.24,0.68,0.68,1.62
05/01/2020,1.18,1.67,1.41,0.83,0.90,1.80
05/04/2020,0.97,1.24,1.26,0.69,0.56,1.46
05/05/2020,0.89,1.60,1.05,0.59,0.52,2.05
05/06/2020,0.85,1.32,1.00,0.59,0.37,1.70
05/08/2020,0.86,1.45,1.18,0.53,0.96,1.60
05/11/2020,0.86,1.37,1.12,0.50,1.27,1.31
05/12/2020,0.88,1.40,1.17,0.60,0.91,1.72
05/13/2020,1.17,1.58,1.61,0.72,0.89,1.84
05/14/2020,0.96,1.27,1.25,0.64,0.77,1.55
05/15/2020,0.80,0.90,1.15,0.57,0.27,1.49
05/18/2020,0.72,1.10,0.94,0.47,0.71,1.24
05/19/2020,0.72,1.10,1.00,0.46,0.96,1.20
05/20/2020,0.81,1.29,1.19,0.49,1.08,1.34
05/21/2020,0.84,1.50,1.10,0.55,1.63,1.44
05/22/2020,0.82,1.32,1.10,0.57,0.47,1.50
05/26/2020,0.81,1.16,1.26,0.50,0.34,1.55
05/27/2020,0.86,1.33,1.34,0.51,0.80,1.40
05/28/2020,0.85,1.13,1.34,0.54,0.65,1.27
05/29/2020,0.92,1.41,1.20,0.58,1.40,1.40
06/01/2020,0.83,1.34,1.49,0.46,0.66,1.56
06/02/2020,0.79,1.36,1.18,0.47,1.39,1.41
06/03/2020,0.69,1.07,1.04,0.40,0.98,1.08
06/04/2020,0.74,1.76,1.25,0.43,1.47,1.76
06/05/2020,0.65,1.16,0.85,0.41,2.04,1.05
06/08/2020,0.60,1.16,0.89,0.37,1.56,1.07
06/09/2020,0.70,1.80,0.90,0.40,1.25,1.97
06/10/2020,0.70,1.33,0.91,0.45,1.11,1.38
06/11/2020,1.01,1.34,1.22,0.70,0.59,2.15
06/12/2020,0.98,1.08,1.35,0.71,0.54,1.89
06/15/2020,0.88,1.22,1.16,0.51,0.73,1.52
06/16/2020,0.76,1.21,1.00,0.45,0.65,1.57
06/17/2020,0.77,1.20,0.86,0.51,0.61,1.61
06/18/2020,0.87,1.73,1.23,0.50,0.95,2.02
06/19/2020,0.91,1.80,1.20,0.57,1.07,2.00
06/22/2020,0.79,1.53,0.94,0.47,0.77,1.97
06/23/2020,0.77,1.54,1.29,0.45,0.67,2.01
06/24/2020,0.99,1.38,1.41,0.62,1.01,1.47
06/25/2020,0.89,1.79,1.15,0.54,2.06,1.73
06/26/2020,1.07,1.56,1.25,0.74,0.94,1.74
06/29/2020,0.97,1.86,1.12,0.55,1.71,1.93
06/30/2020,0.88,1.28,1.06,0.52,0.39,1.57
07/01/2020,0.83,1.70,0.90,0.46,2.12,1.60
07/02/2020,0.87,1.59,1.00,0.51,1.09,1.73
07/06/2020,0.73,1.22,1.18,0.42,0.43,1.80
07/07/2020,0.83,1.87,1.13,0.45,1.69,2.01
07/08/2020,0.76,1.62,1.08,0.40,1.23,1.74
07/09/2020,0.77,1.40,1.24,0.44,0.69,1.83
07/10/2020,0.83,1.64,1.13,0.46,1.43,1.73
07/13/2020,0.77,1.52,0.91,0.41,0.69,1.73
07/14/2020,0.85,1.46,1.66,0.43,0.84,1.74
07/15/2020,0.63,1.09,0.82,0.38,0.54,1.28
07/16/2020,0.72,1.43,0.84,0.47,1.22,1.60
07/17/2020,0.74,1.34,0.92,0.46,0.79,1.93
07/20/2020,0.77,1.49,0.96,0.45,1.65,1.32
07/21/2020,0.71,1.39,0.79,0.39,1.04,1.75
07/22/2020,0.75,1.45,0.79,0.49,0.88,1.60
07/23/2020,0.78,1.66,0.85,0.53,0.93,2.09
07/24/2020,0.91,1.58,1.16,0.60,1.25,1.67
07/27/2020,0.63,1.16,0.69,0.44,0.22,1.68
07/28/2020,0.83,1.71,1.16,0.50,1.45,1.83
07/29/2020,0.73,1.32,0.84,0.51,0.85,1.47
07/30/2020,0.77,1.27,0.92,0.55,0.87,1.52
07/31/2020,0.82,1.53,0.98,0.54,0.64,1.68
08/03/2020,0.67,1.16,0.88,0.44,0.32,1.55
08/04/2020,0.74,1.24,1.41,0.42,0.35,1.76
08/05/2020,0.67,1.09,0.94,0.41,0.65,1.36
08/06/2020,0.61,1.25,0.75,0.42,0.37,1.60
08/07/2020,0.73,1.24,0.85,0.51,0.55,1.79
08/10/2020,0.67,1.51,0.76,0.41,0.90,1.66
08/11/2020,0.70,1.42,0.84,0.45,0.85,1.93
08/12/2020,0.77,1.44,0.95,0.47,1.07,1.57
08/13/2020,0.68,1.51,0.68,0.46,0.89,1.89
08/14/2020,0.78,1.33,0.89,0.54,0.63,1.68
08/17/2020,0.76,1.56,0.81,0.49,1.45,1.51
08/18/2020,0.71,1.11,0.89,0.46,0.73,1.64
08/19/2020,0.76,1.23,1.16,0.43,0.49,1.79
08/20/2020,0.75,1.26,1.09,0.46,0.73,1.61
08/21/2020,0.69,1.23,0.97,0.45,0.28,1.64
08/24/2020,0.74,1.52,0.97,0.42,0.40,1.76
08/25/2020,0.62,1.40,0.58,0.42,1.16,1.46
08/26/2020,0.65,1.00,0.83,0.39,0.69,1.11
08/27/2020,0.62,0.96,0.88,0.38,0.52,1.32
08/28/2020,0.71,1.38,0.68,0.42,0.91,1.66
08/31/2020,0.78,1.53,0.99,0.45,0.77,1.73
09/01/2020,0.62,0.99,0.98,0.40,0.36,1.61
09/02/2020,0.74,1.20,1.19,0.40,0.57,1.43
09/03/2020,0.95,1.02,1.68,0.58,0.40,1.75
09/04/2020,1.03,1.38,1.35,0.67,0.63,1.79
09/08/2020,0.88,1.36,1.04,0.57,0.72,1.74
09/09/2020,0.86,1.23,1.05,0.62,0.65,1.52
09/10/2020,0.81,1.13,1.13,0.54,0.58,1.37
09/11/2020,1.00,1.46,1.35,0.67,1.15,1.58
09/14/2020,0.83,1.58,0.95,0.49,1.16,1.77
09/15/2020,0.69,1.08,0.91,0.46,0.54,1.59
09/16/2020,0.81,1.40,1.05,0.51,0.62,1.75
09/17/2020,0.96,1.70,1.17,0.58,1.09,1.85
09/18/2020,0.94,1.56,1.21,0.63,0.99,1.71
09/21/2020,0.94,1.68,1.25,0.49,1.73,1.66
09/22/2020,0.87,1.82,1.00,0.54,1.44,1.92
09/23/2020,0.89,1.36,1.27,0.51,0.93,1.55
09/24/2020,1.00,1.67,1.26,0.63,2.01,1.67
09/25/2020,0.88,1.53,0.89,0.56,1.44,1.56
09/28/2020,0.77,1.50,0.87,0.45,0.81,1.51
09/29/2020,0.80,1.45,1.04,0.49,1.25,1.60
09/30/2020,0.83,1.29,1.14,0.45,1.00,1.40
10/01/2020,0.78,1.33,1.04,0.50,1.02,1.60
10/02/2020,0.90,1.61,1.07,0.54,1.49,1.71
10/05/2020,0.79,1.37,0.88,0.49,1.02,1.50
10/06/2020,0.84,1.57,1.14,0.46,1.65,1.66
10/07/2020,0.76,1.48,0.89,0.42,1.19,1.62
10/08/2020,0.80,2.19,1.02,0.39,3.02,1.81
10/09/2020,0.85,1.71,0.86,0.44,2.06,1.54
10/12/2020,0.66,1.05,0.86,0.41,0.58,1.22
10/13/2020,0.75,2.03,0.99,0.39,1.84,2.04
10/14/2020,0.71,1.11,1.03,0.47,0.54,1.41
10/15/2020,0.75,1.29,0.93,0.46,0.91,1.60
10/16/2020,0.85,2.00,1.01,0.45,3.48,1.50
10/19/2020,0.78,1.41,1.18,0.43,0.99,1.61
10/20/2020,0.82,1.53,0.87,0.52,1.64,1.48
10/21/2020,0.87,1.62,1.19,0.50,1.45,1.74
10/22/2020,0.80,1.67,1.17,0.48,1.89,1.62
10/23/2020,0.84,1.87,0.92,0.53,2.65,1.77
10/26/2020,1.11,1.79,1.31,0.59,2.96,1.37
10/27/2020,0.80,1.41,1.04,0.48,1.47,1.39
10/28/2020,1.11,1.48,1.53,0.65,1.67,1.41
10/29/2020,0.90,1.49,1.26,0.52,1.13,1.73
10/30/2020,1.03,1.16,1.39,0.77,1.06,1.19
11/02/2020,0.98,1.56,1.08,0.62,1.77,1.46
11/03/2020,1.03,1.52,1.72,0.45,1.66,1.42
11/04/2020,0.98,1.58,1.22,0.45,1.65,1.54
11/05/2020,0.80,1.57,0.96,0.44,1.03,1.90
11/06/2020,0.85,2.00,1.00,0.41,2.06,2.02
11/09/2020,0.74,1.36,0.99,0.37,1.18,1.52
11/10/2020,0.85,1.64,1.00,0.52,0.97,2.26
11/11/2020,1.02,1.61,2.00,0.46,1.25,1.90
11/12/2020,0.93,1.80,1.34,0.52,1.54,1.92
11/13/2020,0.81,1.40,1.05,0.50,1.01,1.53
11/16/2020,0.73,1.44,0.92,0.43,1.52,1.51
11/17/2020,0.87,1.38,1.32,0.49,1.19,1.58
11/18/2020,0.73,1.25,1.10,0.42,0.49,1.75
11/19/2020,0.76,1.14,1.36,0.46,0.69,1.46
11/20/2020,0.71,1.61,0.97,0.40,1.12,1.89
11/23/2020,0.65,1.38,1.00,0.42,0.73,1.54
11/24/2020,0.64,1.43,0.93,0.38,0.88,1.76
11/25/2020,0.72,1.81,0.97,0.40,1.91,1.81
11/27/2020,0.74,2.06,0.84,0.41,1.88,2.19
11/30/2020,0.80,1.61,1.46,0.43,1.25,1.64
12/01/2020,0.65,1.14,1.00,0.37,0.64,1.86
12/02/2020,0.68,1.34,0.91,0.41,0.97,1.54
12/03/2020,0.65,1.38,1.09,0.35,0.92,1.82
12/04/2020,0.68,1.57,0.89,0.39,1.32,1.68
12/07/2020,0.65,1.41,0.94,0.37,0.82,1.74
12/08/2020,0.65,1.35,1.00,0.38,1.00,1.52
12/09/2020,0.84,1.48,1.32,0.42,1.04,1.63
12/10/2020,0.70,1.15,1.21,0.40,0.54,1.69
12/11/2020,0.97,1.67,1.40,0.50,1.17,1.88
12/14/2020,0.81,1.59,0.89,0.42,0.62,2.17
12/15/2020,0.91,1.78,1.28,0.43,1.58,2.01
12/16/2020,0.77,1.68,0.89,0.42,1.27,1.79
12/17/2020,0.69,1.46,0.96,0.37,0.91,1.74
12/18/2020,0.75,1.46,0.94,0.46,0.75,1.68
12/21/2020,0.76,1.04,1.22,0.47,0.43,1.42
12/22/2020,0.60,1.20,1.06,0.37,0.53,1.69
12/23/2020,0.78,1.71,0.99,0.41,2.02,1.61
12/24/2020,0.80,1.42,1.19,0.54,1.00,1.52
12/28/2020,0.72,1.18,1.16,0.44,0.47,1.42
12/29/2020,0.78,1.43,1.27,0.45,1.05,1.55
12/30/2020,0.81,1.53,1.27,0.47,1.42,1.66
12/31/2020,0.86,1.28,1.01,0.56,0.36,1.64
01/04/2021,0.86,1.43,1.05,0.47,0.84,1.77
01/05/2021,0.73,1.16,0.86,0.45,0.52,1.95
01/06/2021,0.78,1.48,0.97,0.39,1.28,1.64
01/07/2021,0.68,1.14,1.17,0.38,0.71,1.53
01/08/2021,0.73,1.44,0.78,0.44,0.99,1.66
01/11/2021,0.79,1.73,1.01,0.41,0.80,2.16
01/12/2021,0.69,1.43,1.22,0.34,0.99,2.05
01/13/2021,0.85,1.35,1.65,0.34,0.87,1.60
01/14/2021,0.66,1.40,0.83,0.36,1.16,1.67
01/15/2021,0.80,1.47,1.21,0.45,1.04,1.68
01/19/2021,0.69,1.22,1.23,0.37,0.54,2.09
01/20/2021,0.71,1.21,0.99,0.40,0.69,1.39
01/21/2021,0.74,1.74,1.41,0.40,1.20,2.10
01/22/2021,0.63,1.37,0.98,0.40,0.62,1.62
01/25/2021,0.72,1.63,1.27,0.38,0.87,2.09
01/26/2021,0.71,1.81,1.18,0.40,1.24,2.35
01/27/2021,0.73,1.15,1.27,0.40,0.65,1.82
01/28/2021,0.75,1.28,1.00,0.40,0.97,1.84
01/29/2021,0.93,1.33,1.22,0.58,0.84,1.71
02/01/2021,0.77,1.46,0.94,0.42,1.03,1.83
02/02/2021,0.78,1.84,0.94,0.40,1.51,1.98
02/03/2021,0.85,1.50,1.73,0.43,0.85,1.77
02/04/2021,0.73,1.32,1.31,0.41,0.87,1.74
02/05/2021,0.75,1.54,1.07,0.42,1.31,1.64
02/08/2021,0.69,1.30,1.04,0.39,0.75,1.61
02/09/2021,0.67,1.36,1.19,0.36,0.78,2.33
02/10/2021,0.75,1.52,1.13,0.37,1.49,1.57
02/11/2021,0.74,1.82,1.08,0.38,1.65,1.86
02/12/2021,0.82,1.60,1.11,0.45,1.50,1.70
02/16/2021,0.77,1.65,0.84,0.42,1.40,1.89
02/17/2021,0.71,1.28,0.92,0.39,0.75,1.80
02/18/2021,0.82,1.39,1.12,0.51,0.87,1.66
02/19/2021,0.75,1.57,0.96,0.43,0.82,1.99
02/22/2021,0.66,1.32,0.82,0.43,0.51,1.66
02/23/2021,0.76,1.28,1.15,0.44,0.69,1.64
02/24/2021,0.70,1.39,0.91,0.35,1.43,1.35
02/25/2021,0.80,1.50,0.93,0.47,1.02,1.82
02/26/2021,0.92,1.21,1.15,0.63,0.59,1.71
03/01/2021,0.97,1.39,2.13,0.38,0.89,1.65
03/02/2021,0.77,1.64,0.98,0.44,1.11,1.96
03/03/2021,0.83,1.25,1.33,0.48,0.77,1.49
03/04/2021,0.89,1.17,1.30,0.54,0.83,1.43
03/05/2021,0.95,1.44,1.26,0.60,1.20,1.49
03/08/2021,0.79,1.24,1.11,0.46,0.45,1.69
03/09/2021,0.92,1.80,1.40,0.42,1.70,1.89
03/10/2021,0.72,1.05,1.03,0.42,0.55,1.63
03/11/2021,0.74,1.29,0.95,0.44,0.99,1.42
03/12/2021,0.77,1.37,1.07,0.44,0.74,1.76
03/15/2021,0.75,1.33,0.96,0.38,1.15,1.45
03/16/2021,0.89,1.62,1.37,0.43,1.64,1.61
03/17/2021,0.73,1.07,0.97,0.44,0.47,1.44
03/18/2021,0.75,1.20,1.05,0.47,0.63,1.49
03/19/2021,0.82,1.39,1.13,0.51,1.15,1.46
03/22/2021,0.72,1.40,0.92,0.39,1.17,1.46
03/23/2021,0.81,1.36,1.22,0.44,0.95,1.61
03/24/2021,0.89,1.47,1.13,0.57,1.17,1.46
03/25/2021,0.88,1.43,1.10,0.58,1.24,1.51
03/26/2021,0.89,1.36,1.15,0.58,0.58,1.68
03/29/2021,0.85,1.34,1.11,0.51,0.76,1.51
03/30/2021,0.77,1.51,1.00,0.48,1.81,1.47
03/31/2021,0.74,1.08,1.21,0.42,0.45,1.27
04/01/2021,0.72,1.36,0.95,0.42,0.92,1.55
04/05/2021,0.69,1.27,0.83,0.38,0.73,1.39
04/06/2021,0.67,1.24,0.93,0.41,0.48,1.80
04/07/2021,0.80,1.41,0.97,0.47,0.91,1.74
04/08/2021,0.72,0.95,1.08,0.45,0.57,1.74
04/09/2021,0.75,1.17,0.87,0.50,0.46,1.53
04/12/2021,0.73,1.12,0.90,0.48,0.29,1.62
04/13/2021,0.69,1.24,0.86,0.44,0.80,1.59
04/14/2021,0.78,1.44,0.96,0.43,1.01,1.70
04/15/2021,0.76,1.37,0.90,0.48,1.40,1.38
04/16/2021,0.77,1.47,0.83,0.44,1.26,1.50
04/19/2021,0.84,1.42,1.20,0.45,0.72,1.90
04/20/2021,0.79,1.07,1.26,0.48,0.57,1.77
04/21/2021,0.71,1.17,0.89,0.43,0.53,1.54
04/22/2021,0.79,1.48,0.89,0.52,0.66,1.83
04/23/2021,0.80,1.25,0.88,0.55,0.39,1.60
04/26/2021,0.65,1.23,0.61,0.43,0.41,1.61
04/27/2021,0.70,1.12,0.93,0.50,0.53,1.89
04/28/2021,0.81,1.54,1.26,0.43,1.28,1.70
04/29/2021,0.71,1.17,0.92,0.47,0.59,1.49
04/30/2021,0.95,1.41,1.35,0.59,0.43,1.74
05/03/2021,0.75,1.29,0.73,0.51,0.30,1.76
05/04/2021,0.86,1.13,1.19,0.56,0.50,1.62
05/05/2021,0.88,1.64,1.24,0.46,0.77,1.91
05/06/2021,0.87,1.45,1.16,0.57,0.76,1.80
05/07/2021,0.86,1.42,0.98,0.51,0.50,1.76
05/10/2021,0.90,1.43,0.95,0.59,0.47,2.05
05/11/2021,0.99,1.23,1.52,0.57,0.65,2.03
05/12/2021,0.98,1.04,1.50,0.63,0.51,1.93
05/13/2021,1.00,1.58,1.09,0.63,0.90,2.27
05/14/2021,0.90,1.37,0.93,0.54,0.75,2.01
05/17/2021,0.92,1.54,0.98,0.55,0.75,2.17
05/18/2021,0.85,1.47,0.94,0.48,0.81,2.33
05/19/2021,1.07,1.52,1.21,0.58,1.20,1.76
05/20/2021,0.84,1.56,0.93,0.48,0.89,1.87
05/21/2021,0.85,1.70,0.90,0.53,1.41,1.76
05/24/2021,0.76,1.37,1.06,0.41,0.67,1.74
05/25/2021,0.82,1.46,1.17,0.49,0.70,1.73
05/26/2021,0.76,1.54,0.85,0.44,1.17,1.80
05/27/2021,0.71,1.32,1.07,0.41,0.84,1.93
05/28/2021,0.73,1.40,1.05,0.45,0.56,1.84
06/01/2021,0.66,1.28,0.63,0.42,0.44,1.81
06/02/2021,0.69,1.37,1.46,0.37,0.53,1.86
06/03/2021,0.67,1.36,1.22,0.41,0.79,1.63
06/04/2021,0.84,1.82,0.97,0.44,1.57,1.87
06/07/2021,0.68,1.40,0.93,0.43,0.45,1.83
06/08/2021,0.65,1.52,0.99,0.35,0.56,2.37
06/09/2021,0.65,1.37,1.12,0.36,0.75,1.74
06/10/2021,0.78,1.38,1.18,0.43,0.83,1.74
06/11/2021,0.85,1.60,0.96,0.48,1.28,1.82
06/14/2021,0.71,1.54,1.04,0.36,0.81,2.03
06/15/2021,0.71,1.21,0.84,0.45,0.75,1.84
06/16/2021,0.97,1.85,1.00,0.55,1.42,2.02
06/17/2021,0.84,1.75,0.95,0.49,1.42,1.86
06/18/2021,0.90,1.67,1.02,0.56,0.86,1.95
06/21/2021,0.80,1.58,1.05,0.42,0.85,1.77
06/22/2021,0.78,1.61,1.05,0.47,0.92,1.84
06/23/2021,0.70,1.35,1.05,0.39,0.50,1.88
06/24/2021,0.68,1.39,1.24,0.40,0.54,1.92
06/25/2021,0.74,1.39,0.97,0.48,0.60,1.68
06/28/2021,0.76,1.59,1.31,0.42,0.55,1.92
06/29/2021,0.66,1.38,1.00,0.43,0.46,1.86
06/30/2021,0.74,1.34,1.06,0.40,0.32,1.61
07/01/2021,0.65,0.84,1.05,0.44,0.25,1.98
07/02/2021,0.78,1.30,0.99,0.51,0.55,1.52
07/06/2021,0.89,1.53,1.24,0.51,0.70,1.90
07/07/2021,0.83,1.64,0.92,0.52,1.37,1.70
07/08/2021,0.86,1.37,0.92,0.59,0.59,1.87
07/09/2021,0.87,1.26,1.29,0.53,0.56,1.56
07/12/2021,0.88,1.73,1.02,0.49,0.83,2.08
07/13/2021,0.81,1.73,0.82,0.48,0.75,2.39
07/14/2021,0.81,1.39,1.06,0.49,0.40,1.83
07/15/2021,0.89,1.29,1.31,0.59,0.49,1.88
07/16/2021,0.98,1.53,1.08,0.69,0.59,2.20
07/19/2021,0.98,1.22,1.50,0.53,0.46,2.42
07/20/2021,0.78,1.18,1.02,0.44,0.70,1.75
07/21/2021,0.86,1.62,1.20,0.46,0.79,1.92
07/22/2021,0.87,1.43,1.23,0.57,0.90,1.69
07/23/2021,0.88,1.43,0.90,0.61,1.71,1.38
07/26/2021,0.86,1.59,0.95,0.54,0.55,1.90
07/27/2021,1.00,1.46,1.69,0.59,0.78,1.79
07/28/2021,0.80,1.42,0.99,0.52,0.37,1.87
07/29/2021,0.67,1.35,0.64,0.48,0.69,1.70
07/30/2021,0.83,1.53,0.98,0.56,0.50,1.79
08/02/2021,0.89,1.82,0.91,0.51,1.09,2.10
08/03/2021,0.76,1.35,1.27,0.47,0.98,1.52
08/04/2021,0.84,1.70,1.14,0.52,0.96,1.94
08/05/2021,0.82,1.76,1.19,0.52,0.83,2.17
08/06/2021,0.95,1.71,1.33,0.55,1.16,1.95
08/09/2021,0.86,1.57,1.20,0.49,0.73,2.05
08/10/2021,0.72,1.40,1.20,0.43,0.76,1.82
08/11/2021,0.98,1.55,1.69,0.52,1.11,1.81
08/12/2021,0.88,1.52,1.35,0.53,1.20,1.81
08/13/2021,0.93,1.84,1.01,0.57,1.08,2.38
08/16/2021,0.87,1.45,1.11,0.54,0.71,1.65
08/17/2021,0.92,1.33,1.12,0.58,0.70,1.95
08/18/2021,0.91,1.71,0.82,0.52,0.85,2.15
08/19/2021,1.04,1.61,1.32,0.61,0.97,2.02
08/20/2021,0.91,1.75,1.06,0.57,0.86,2.00
08/23/2021,0.78,1.61,0.95,0.41,0.77,1.74
08/24/2021,0.69,1.64,1.05,0.39,1.03,1.87
08/25/2021,0.80,1.75,1.08,0.42,1.19,2.02
08/26/2021,0.86,1.48,1.07,0.55,0.90,1.98
08/27/2021,0.88,1.88,0.98,0.49,1.38,2.08
08/30/2021,0.77,1.34,1.28,0.42,0.35,1.72
08/31/2021,0.89,1.65,1.33,0.46,1.12,1.94
09/01/2021,0.81,1.79,0.94,0.45,1.27,2.05
09/02/2021,0.68,1.51,0.86,0.42,1.08,1.72
09/03/2021,0.89,1.80,1.05,0.50,0.81,2.25
09/07/2021,0.87,1.83,1.19,0.43,0.84,2.15
09/08/2021,0.86,1.57,1.19,0.42,0.63,2.07
09/09/2021,0.82,1.62,0.97,0.47,1.23,1.85
09/10/2021,0.99,1.74,1.23,0.53,0.45,2.27
09/13/2021,0.91,1.46,1.23,0.46,0.48,2.27
09/14/2021,0.90,1.17,1.54,0.55,0.46,1.73
09/15/2021,0.85,1.21,1.04,0.49,0.30,1.88
09/16/2021,0.84,1.58,0.98,0.49,0.64,1.93
09/17/2021,0.92,1.69,1.05,0.56,0.91,1.91
