Cache staleness audit  (NOW=2026-06-11)  files=754
========================================================================================================================
FLAGGED total: 307   STUCK(writer-runs,data-frozen): 153   WRITER_STOPPED: 95   LAGGING: 59
no-extractable-date: 40   parse_errors: 0

CAT              OVR FREQ         INTV LATEST      d_late UPDATED      d_upd      N  FILE
STUCK            3.3 monthly      31.0 2026-03-01     102 2026-06-10       0    301  uk/employment/ons_wages_cache.json
STUCK            3.3 monthly      31.0 2026-03-01     102 2026-06-11      -1    315  usa/housing/case_shiller_cache.json
STUCK            3.1 quarterly    92.0 2025-09-01     283 2026-06-10       0     63  china/economy/cn_current_account_gdp_ratio_cache.json
STUCK            3.1 quarterly    92.0 2025-09-01     283 2026-06-08       2    135  switzerland/employment/ch_nominal_wage_growth_cache.json
STUCK            2.9 weekly        7.0 2026-05-22      20 2026-06-11      -1   1116  market/cmdi_cache.json
STUCK            2.8 quarterly    91.5 2025-09-30     254 2026-06-10       0     27  australia/policy/au_housing_loan_arrears_cache.json
STUCK            2.8 quarterly    91.5 2025-10-01     253 2026-06-09       1    144  canada/consumer/ca_debt_service_ratio_cache.json
STUCK            2.8 quarterly    91.5 2025-10-01     253 2026-06-10       0     44  eurozone/employment/eurostat_job_vacancy_cache.json
STUCK            2.8 quarterly    91.5 2025-10-01     253 2026-06-10       0    104  japan/price/boj_gdp_gap_cache.json
STUCK            2.8 quarterly    91.5 2025-10-01     253 2026-06-08       2     36  switzerland/housing/ch_housing_prices_cache.json
STUCK            2.8 quarterly    91.5 2025-10-01     253 2026-06-08       2     32  switzerland/housing/ch_new_mortgage_loans_cache.json
STUCK            2.8 quarterly    91.5 2025-10-01     253 2026-06-09       1    283  uk/employment/ons_productivity_cache.json
STUCK            2.7 weekly        7.0 2026-05-23      19 2026-06-10       0   1378  usa/employment/continued_claims_cache.json
STUCK            2.4 quarterly    92.0 2025-11-01     222 2026-06-10       0     76  japan/employment/employment_type_cache.json
STUCK            2.4 weekly        7.0 2026-05-25      17 2026-06-11      -1    282  japan/price/japan_pos_uvpi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    112  australia/consumer/au_household_spending_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    658  australia/economy/au_international_trade_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-07       3    316  australia/employment/au_employed_persons_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-07       3    316  australia/employment/au_fulltime_parttime_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-07       3    316  australia/employment/au_participation_rate_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-07       3    316  australia/employment/au_unemployment_rate_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    514  australia/housing/au_number_of_building_permits_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    103  australia/inflation/abs_monthly_cpi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-09       1    436  canada/housing/ca_housing_starts_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-09       1    300  canada/housing/ca_new_housing_price_index_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-09       1    316  canada/inflation/ca_cpi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-09       1    304  canada/inflation/ca_cpi_service_rent_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-09       1    196  canada/inflation/ca_ippi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0     35  china/economy/cn_land_sales_income_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    182  china/housing/cn_house_price_index_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-11      -1    196  china/policy/cn_capital_flows_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-11      -1    106  china/policy/cn_overseas_investor_flow_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    135  eurozone/consumer/ecb_retail_trade_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    135  eurozone/consumer/germany_retail_sales_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    136  eurozone/economy/ecb_adjusted_loans_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0     40  eurozone/economy/germany_factory_orders_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0     49  eurozone/employment/ecb_ces_wage_expectations_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    136  eurozone/employment/ecb_unemployment_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0     88  eurozone/employment/indeed_euro_wage_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0     49  eurozone/inflation/ecb_inflation_expectations_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    135  eurozone/inflation/ecb_ppi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    135  eurozone/inflation/eu_import_prices_cache.json
STUCK            2.3 monthly        31 2026-04-01      71 2026-06-10       0     14  eurozone/inflation/germany_ppi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    136  eurozone/monetary_policy/ecb_bank_interest_rates_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-08       2    136  eurozone/monetary_policy/ecb_m3_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    124  global/economy/jpmorgan_global_manufacturing_pmi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    568  japan/economy/japan_balance_of_trade_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    364  japan/economy/japan_current_account_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    316  japan/employment/cash_earnings_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    316  japan/employment/real_wage_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    124  japan/employment/scheduled_wage_common_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    287  japan/employment/unemployment_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    256  japan/policy/boj_current_account_balance_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-11      -1    916  market/roni_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-09       1    229  newzealand/economy/nz_pci_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-09       1    285  newzealand/economy/nz_pmi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-09       1    229  newzealand/economy/nz_psi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0     89  newzealand/economy/nz_trade_balance_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-08       2    241  switzerland/consumer/ch_consumer_sentiment_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-08       2    172  switzerland/economy/ch_balance_of_trade_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-08       2    323  switzerland/monetary_policy/foreign_currency_reserves_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-08       2    364  switzerland/monetary_policy/monetary_aggregate_m2_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-08       2    916  switzerland/monetary_policy/monetary_base_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-09       1    353  switzerland/monetary_policy/snb_balance_sheet_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-09       1    398  uk/economy/uk_government_debt_to_gdp_ratio_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    315  usa/consumer/advance_real_retail_sales_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    316  usa/consumer/disposable_income_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-11      -1    316  usa/consumer/pce_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    316  usa/consumer/personal_income_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    316  usa/consumer/personal_saving_rate_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-11      -1    196  usa/consumer/retail_control_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-11      -1    316  usa/consumer/retail_sales_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    136  usa/consumer/visa_spending_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    316  usa/economy/capacity_utilization_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    316  usa/economy/durable_goods_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    316  usa/economy/industrial_production_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-07       3     66  usa/employment/adp_wage_growth_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0     88  usa/employment/indeed_wage_tracker_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    304  usa/employment/job_openings_per_unemployed_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    305  usa/employment/jolts_hires_layoffs_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    136  usa/employment/pce_food_recreation_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-11      -1    316  usa/housing/housing_starts_permits_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-11      -1    316  usa/housing/new_home_sales_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    304  usa/inflation/core_pce_deflator_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    181  usa/inflation/core_ppi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-11      -1    303  usa/inflation/import_export_price_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    509  usa/inflation/median_cpi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    304  usa/inflation/pce_deflator_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    186  usa/inflation/ppi_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0     61  usa/inflation/supply_and_demand_driven_pce_inflation_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    591  usa/inflation/trimmed_mean_pce_cache.json
STUCK            2.3 monthly      31.0 2026-04-01      71 2026-06-10       0    124  usa/inflation/zillow_rent_index_cache.json
STUCK            2.1 quarterly    91.5 2025-12-01     192 2026-06-10       0    104  eurozone/economy/eu_government_debt_to_gdp_ratio_cache.json
STUCK            2.1 quarterly    91.5 2025-12-01     192 2026-06-09       1    219  newzealand/economy/nz_current_account_balance_cache.json
