Cache staleness audit  (NOW=2026-06-11)  files=754
========================================================================================================================
FLAGGED total: 307   STUCK(writer-runs,data-frozen): 153   WRITER_STOPPED: 95   LAGGING: 59
no-extractable-date: 40   parse_errors: 0

CAT              OVR FREQ         INTV LATEST      d_late UPDATED      d_upd      N  FILE
WRITER_STOPPED   4.2 monthly      31.0 2026-02-01     130 2026-03-26      76     62  japan/price/japan_sppi_cache.json
WRITER_STOPPED   4.2 monthly      31.0 2026-01-31     131 2026-02-23     107    175  newzealand/policy/nz_central_bank_balance_sheet_cache.json
WRITER_STOPPED   4.2 monthly      31.0 2026-02-01     130 None          None     62  usa/economy/ism_components_cache.json
WRITER_STOPPED   3.3 monthly      31.0 2026-03-01     102 None          None     98  china/employment/cn_unemployment_rate_cache.json
WRITER_STOPPED   3.3 monthly      31.0 2026-02-28     103 2026-03-11      91    277  market/wgc_gold_etf_holdings_usd_cache.json
WRITER_STOPPED   3.3 monthly      31.0 2026-03-01     102 2026-01-17     144     63  uk/economic_outlook/boe_cpi_contributions_cache.json
WRITER_STOPPED   3.2 monthly      30.5 2026-03-06      97 2026-03-11      91    277  market/wgc_gold_etf_flows_usd_cache.json
WRITER_STOPPED   2.4 monthly      29.5 2026-04-01      71 None          None      3  china/economy/cn_industrial_production_cache.json
WRITER_STOPPED   2.3 monthly      31.0 2026-04-01      71 None          None    112  china/consumer/cn_retail_sales_cache.json
WRITER_STOPPED   2.3 monthly      31.0 2026-04-01      71 None          None    173  china/economy/cn_fixed_asset_investment_cache.json
WRITER_STOPPED   2.3 monthly      31.0 2026-04-01      71 None          None    167  china/economy/cn_integrated_circuit_manufacturing_cache.json
WRITER_STOPPED   2.3 monthly      31.0 2026-04-01      71 None          None    179  china/housing/cn_commercial_residential_sales_cache.json
WRITER_STOPPED   2.3 monthly      31.0 2026-04-01      71 None          None    123  china/inflation/cn_cpi_cache.json
WRITER_STOPPED   2.3 monthly      31.0 2026-04-01      71 None          None    194  china/inflation/cn_export_prices_cache.json
WRITER_STOPPED   2.1 quarterly    91.5 2025-12-01     192 None          None     83  japan/economy/machinery_orders_forecast_cache.json
LAGGING          9.0 daily         1.0 2026-06-02       9 2026-06-04       6   6673  uk/monetary_policy/boe_bank_rate_cache.json
LAGGING          6.2 monthly      31.0 2025-12-01     192 2026-06-05       5    192  uk/consumer/brc_retail_sales_cache.json
LAGGING          6.2 monthly      31.0 2025-12-01     192 2026-06-04       6     60  uk/economic_outlook/boe_services_inflation_cache.json
LAGGING          5.2 monthly      31.0 2026-01-01     161 2026-04-20      51     96  japan/economy/tertiary_industry_index_cache.json
LAGGING          5.2 monthly      31.0 2026-01-01     161 2026-06-05       5    193  uk/consumer/gfk_consumer_confidence_cache.json
LAGGING          5.2 monthly      31.0 2026-01-01     161 2026-06-04       6     25  uk/economic_outlook/boe_inflation_expectations_cache.json
LAGGING          5.2 monthly      31.0 2026-01-01     161 2026-06-05       5    193  uk/economy/cbi_industrial_trends_cache.json
LAGGING          5.2 monthly      31.0 2026-01-01     161 2026-06-05       5    193  uk/economy/uk_pmi_cache.json
LAGGING          5.2 monthly      31.0 2026-01-01     161 2026-06-05       5    193  uk/inflation/brc_shop_price_cache.json
LAGGING          5.1 weekly        7.0 2026-05-06      36 2026-06-05       5    896  uk/monetary_policy/uk_qt_cache.json
LAGGING          4.8 quarterly    91.5 2025-04-01     436 2026-01-17     144     26  uk/economic_outlook/boe_import_prices_cache.json
LAGGING          4.4 monthly        42 2025-12-10     183 2026-05-19      22      8  usa/fomc_schedule/fomc_schedule.json
LAGGING          4.2 monthly      31.0 2026-02-01     130 2026-04-18      53     98  japan/economy/japan_capacity_utilization_cache.json
LAGGING          4.2 monthly      31.0 2026-02-01     130 2026-04-20      51     98  japan/economy/japan_iip_cache.json
LAGGING          4.2 monthly      31.0 2026-02-01     130 2026-04-20      51     98  japan/economy/japan_iip_yoy_cache.json
LAGGING          4.2 monthly      31.0 2026-02-01     130 2026-06-05       5    661  uk/employment/ons_economic_activity_cache.json
LAGGING          4.2 monthly      31.0 2026-02-01     130 2026-06-05       5    661  uk/employment/ons_employment_cache.json
LAGGING          4.2 monthly      31.0 2026-02-01     130 2026-06-05       5    661  uk/employment/ons_unemployment_cache.json
LAGGING          3.8 quarterly    91.0 2025-07-01     345 2026-02-20     110    264  australia/economy/au_gdp_economic_related_cache.json
LAGGING          3.8 quarterly      91 2025-06-30     346 2026-05-12      29      8  earnings/earnings_southkorea_financials_005380.KS_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-05-20      21    578  australia/employment/au_underutilization_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-05-14      27    316  china/policy/cn_gold_reserves_service_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-04-18      53   1515  global/economy/us_monthly_epu_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-05-12      29    279  japan/consumption/boj_cai_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-04-14      57    195  japan/economy/boj_lending_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-06-06       4    350  uk/economy/ons_production_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-05-15      26     87  uk/employment/indeed_wage_tracker_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-05-10      31    135  uk/housing/boe_mortgage_lending_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-06-05       5    315  uk/housing/uk_house_price_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-05-10      31    207  uk/inflation/ons_ppi_cache.json
LAGGING          3.3 monthly      31.0 2026-03-01     102 2026-05-10      31    397  uk/monetary_policy/ons_public_sector_net_borrowing_cache.json
LAGGING          2.9 weekly        7.0 2026-05-22      20 2026-06-05       5    856  market/us_natural_gas_storage_cache.json
LAGGING          2.8 quarterly    91.5 2025-10-01     253 2026-05-12      29    104  japan/economy/japan_gdp_gap_cache.json
LAGGING          2.8 quarterly    91.5 2025-10-01     253 2026-04-03      68    104  japan/economy/potential_growth_cache.json
LAGGING          2.8 quarterly    91.5 2025-10-01     253 2026-05-25      16    104  japan/economy/quarterly_gdp_qoq.json
LAGGING          2.8 quarterly    91.5 2025-10-01     253 2026-05-25      16    104  japan/economy/quarterly_gdp_qoq_annualized.json
LAGGING          2.8 quarterly    91.5 2025-10-01     253 2026-05-25      16    104  japan/economy/quarterly_gdp_yoy.json
LAGGING          2.8 quarterly    91.5 2025-10-01     253 2026-06-06       4    283  uk/employment/ons_unit_labour_costs_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-05-30      11     11  japan/employment/job_offers_ratio_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-06-05       5    316  japan/employment/scheduled_wage_estat_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-06-01       9    337  japan/monetary_policy/japan_balance_sheet_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-05-28      13    124  japan/price/japan_cgpi_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-05-30      11    240  japan/price/national_cpi_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-06-05       5    459  uk/consumer/ons_retail_sales_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-06-04       6    112  uk/dmp/boe_dmp_survey_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-06-05       5    664  uk/employment/ons_claimant_count_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-05-10      31    172  uk/housing/boe_mortgage_rates_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-06-01       9    196  uk/housing/halifax_house_price_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-05-10      31    423  uk/housing/nationwide_hpi_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-06-01       9    196  uk/housing/rics_house_price_cache.json
LAGGING          2.3 monthly      31.0 2026-04-01      71 2026-06-05       5    316  uk/inflation/ons_cpih_cache.json
LAGGING          2.1 quarterly    91.5 2025-12-01     192 2026-01-12     149     87  bsi/bsi_ref1_forecast1.json
LAGGING          2.1 quarterly    91.5 2025-12-01     192 2026-01-12     149     87  bsi/bsi_ref1_forecast2.json
LAGGING          2.1 quarterly    91.5 2025-12-01     192 2026-01-12     149     87  bsi/bsi_ref2_actual.json
LAGGING          2.1 quarterly    91.5 2025-12-01     192 2026-01-12     149     87  bsi/bsi_ref3_actual.json
LAGGING          2.1 quarterly    91.5 2025-12-01     192 2026-01-12     149     87  bsi/bsi_ref4_actual.json
LAGGING          2.1 quarterly    91.5 2025-12-01     192 2026-02-26     104     65  newzealand/employment/test_response.json
LAGGING          2.1 quarterly    91.5 2025-12-01     192 2026-02-26     104     34  newzealand/employment/test_unemp.json
LAGGING          2.1 quarterly    91.5 2025-12-01     192 2026-06-06       4    284  uk/economy/ons_gdp_cache.json

=== files with NO extractable date: 40 (manual check) ===
  upd=2026-06-01  n=0  australia/inflation/nab_imported_pdfs.json
  upd=2026-02-15  n=0  australia/policy/rba_smp_forecast_cache.json
  upd=2026-06-06  n=0  earnings/earnings_australia_calendar_cache.json
  upd=2026-06-06  n=0  earnings/earnings_china-hongkong_calendar_cache.json
  upd=2026-06-06  n=0  earnings/earnings_denmark_calendar_cache.json
  upd=2026-06-06  n=0  earnings/earnings_india_calendar_cache.json
  upd=2026-06-06  n=0  earnings/earnings_japan_calendar_cache.json
  upd=2026-06-06  n=0  earnings/earnings_southkorea_calendar_cache.json
  upd=2026-06-06  n=0  earnings/earnings_taiwan_calendar_cache.json
  upd=2026-06-11  n=0  eurozone/monetary_policy/eurex_ois_cache.json
  upd=None  n=0  global/economy/kr_semiconductor_history.json
  upd=2026-05-25  n=0  japan/economy/gdp_components_cache.json
  upd=2026-04-18  n=0  japan/economy/japan_iip_forecast_cache.json
  upd=None  n=0  japan/employment/shuntou_schedule_cache.json
  upd=None  n=0  japan/monetary_policy/boj_meeting_expectations.json
  upd=2026-04-18  n=0  japan/monetary_policy/boj_outlook_report.json
  upd=2026-05-11  n=0  japan/monetary_policy/jscc_ois_curve.json
  upd=2026-05-12  n=0  japan/price/national_cpi_categories_cache.json
  upd=2026-06-10  n=0  market/iea_oil_market_report_cache.json
  upd=2026-05-21  n=0  market/ny_option_cut_cache.json
  upd=2026-06-10  n=0  market/tsmc_revenue_cache.json
  upd=2026-06-08  n=0  switzerland/monetary_policy/ch_inflation_forecast_cache.json
  upd=2026-01-19  n=0  uk/consumer/brc_commentary_cache.json
  upd=2026-06-04  n=0  uk/economic_outlook/boe_average_weekly_earnings_cache.json
  upd=2026-06-05  n=0  uk/economic_outlook/boe_unit_wage_costs_cache.json
  upd=2026-06-01  n=0  uk/housing/halifax_imported_pdfs.json
  upd=None  n=0  uk/housing/halifax_schedule_cache.json
  upd=2026-06-01  n=0  uk/housing/rics_imported_pdfs.json
  upd=2026-04-12  n=0  uk/housing/rics_residential_survey.json
  upd=2026-06-01  n=0  uk/housing/rightmove_imported_pdfs.json
  upd=2026-06-10  n=0  uk/monetary_policy/boe_ois_curve_cache.json
  upd=2026-06-10  n=0  usa/employment/ner_pulse_cache.json
  upd=None  n=0  usa/employment/ner_pulse_schedule.json
  upd=2026-06-10  n=0  usa/fiscal/cbo_projections_cache.json
  upd=2026-01-25  n=0  usa/fomc_projections/figure2_20251210_metadata.json
  upd=2026-03-18  n=0  usa/fomc_projections/figure2_20260318_metadata.json
  upd=2026-01-25  n=0  usa/fomc_table1/table1_20251210_metadata.json
  upd=2026-03-18  n=0  usa/fomc_table1/table1_20260318_metadata.json
  upd=2026-06-11  n=0  usa/inflation/inflation_nowcasting_cache.json
  upd=2026-06-10  n=0  usa/inflation/ppi_categories_cache.json
