Database:Monthly
Month:2024-
Indicators,Feb. 2026,Jan. 2026,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024
Inventories of Mining and  Support Activities The Same Period of Previous Year(100 million yuan),,,67.20,96.60,96.70,98.90,101.40,100.50,100.30,102.20,99.30,94.30,88.80,,108.00,141.00,139.10,136.40,135.00,129.50,123.20,121.70,120.50,110.20,105.50,
Inventories of Mining and  Support Activities Accumulated Growth Rate(%),,,14.3,18.4,21.2,18.4,19.4,15.9,1.7,0.4,-0.9,2.0,-0.2,,-10.8,4.8,9.1,8.7,4.8,4.9,11.2,14.8,11.6,17.3,13.9,
Inventories of Mining of Other Ores month-end(100 million yuan),,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.50,0.40,,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,
Inventories of Mining of Other Ores The Same Period of Previous Year(100 million yuan),,,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.30,0.60,0.50,,0.30,0.40,0.40,0.50,0.50,0.70,0.60,0.60,0.60,0.60,0.60,
Inventories of Mining of Other Ores Accumulated Growth Rate(%),,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-66.7,-16.7,-20.0,,-33.3,-50.0,-50.0,-60.0,-60.0,-71.4,-66.7,-66.7,-66.7,-66.7,-66.7,
Inventories of Manufacturing month-end(100 million yuan),,,168758.50,171952.30,170107.00,168115.60,167855.60,166016.30,164202.40,165884.40,165097.20,162693.10,161157.60,,160359.50,163689.90,162375.00,160914.30,162125.80,161510.90,159282.10,160864.40,159406.40,156594.90,155147.50,
Inventories of Manufacturing The Same Period of Previous Year(100 million yuan),,,161151.10,164485.30,163355.20,162121.00,163381.10,162563.30,160147.40,161701.20,160141.20,157233.30,155643.30,,155862.20,159859.20,158642.50,156508.90,156928.50,155600.50,153891.40,155974.50,156151.40,155266.10,154137.10,
Inventories of Manufacturing Accumulated Growth Rate(%),,,4.7,4.5,4.1,3.7,2.7,2.1,2.5,2.6,3.1,3.5,3.5,,2.9,2.4,2.4,2.8,3.3,3.8,3.5,3.1,2.1,0.9,0.7,
Inventories of Processing of Food from Agricultural Products month-end(100 million yuan),,,6798.60,6637.00,6314.10,6215.60,6255.70,6354.60,6374.30,6324.40,6280.10,6274.10,6166.40,,6430.70,6266.40,6056.50,5885.20,6026.50,6216.20,6226.40,6237.20,6254.00,6156.70,6057.60,
Inventories of Processing of Food from Agricultural Products The Same Period of Previous Year(100 million yuan),,,6466.80,6309.40,6105.70,5964.20,6044.10,6229.90,6230.70,6241.90,6252.30,6139.20,6034.80,,6629.80,6609.10,6352.90,6178.20,6235.90,6377.80,6418.20,6342.10,6382.80,6439.30,6425.90,
