Database:Monthly
Month:2024-
Indicators,Feb. 2026,Jan. 2026,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024
Inventories of Smelting and Pressing of Ferrous Metals Accumulated Growth Rate(%),,,3.0,1.9,2.9,2.1,-3.2,-6.0,-3.9,-3.1,-3.3,-6.2,-8.7,,-3.8,-3.3,-5.4,-3.9,0.1,3.1,3.1,-1.2,-4.9,-3.0,1.1,
Inventories of Smelting and Pressing of Non-Ferrous Metals month-end(100 million yuan),,,10145.80,9989.50,9670.40,9396.20,9245.50,9180.80,9155.90,9068.30,8932.30,8969.80,8955.00,,8712.20,8535.70,8734.80,8540.20,8453.30,8461.00,8506.70,8491.40,8252.00,7974.00,7881.10,
Inventories of Smelting and Pressing of Non-Ferrous Metals The Same Period of Previous Year(100 million yuan),,,8790.90,8602.20,8577.20,8383.80,8368.90,8412.40,8452.80,8397.30,8183.70,7854.20,7788.70,,7592.40,7693.40,7898.80,7881.60,7785.60,7851.00,7795.50,7783.10,7872.40,7967.00,7922.40,
Inventories of Smelting and Pressing of Non-Ferrous Metals Accumulated Growth Rate(%),,,15.4,16.1,12.7,12.1,10.5,9.1,8.3,8.0,9.1,14.2,15.0,,14.7,10.9,10.6,8.4,8.6,7.8,9.1,9.1,4.8,0.1,-0.5,
Inventories of Manufacture of Metal Products month-end(100 million yuan),,,6492.10,6556.20,6491.60,6501.70,6459.80,6401.60,6368.70,6387.50,6355.20,6259.70,6174.90,,6258.70,6339.10,6362.50,6328.20,6411.00,6416.90,6325.10,6345.70,6235.30,6121.10,5993.80,
Inventories of Manufacture of Metal Products The Same Period of Previous Year(100 million yuan),,,6318.90,6387.10,6406.50,6388.80,6416.50,6430.80,6337.80,6315.30,6243.20,6116.70,5981.40,,6024.50,6118.50,6114.10,6073.60,6052.50,6034.40,5999.40,6040.00,6014.90,5918.80,5822.50,
Inventories of Manufacture of Metal Products Accumulated Growth Rate(%),,,2.7,2.6,1.3,1.8,0.7,-0.5,0.5,1.1,1.8,2.3,3.2,,3.9,3.6,4.1,4.2,5.9,6.3,5.4,5.1,3.7,3.4,2.9,
Inventories of Manufacture of General Purpose Machinery month-end(100 million yuan),,,10617.30,10981.70,10929.80,10814.10,10873.30,10739.60,10523.00,10639.80,10545.30,10325.90,10266.00,,10056.50,10374.90,10314.30,10137.80,10255.30,10185.40,10044.60,10247.90,10132.00,9961.40,9819.60,
Inventories of Manufacture of General Purpose Machinery The Same Period of Previous Year(100 million yuan),,,10182.50,10508.30,10459.20,10327.70,10424.80,10300.10,10130.10,10323.40,10208.70,10039.90,9891.80,,9703.20,10058.60,10044.20,9951.60,10030.40,9962.80,9747.50,9896.60,9763.90,9575.80,9428.10,
Inventories of Manufacture of General Purpose Machinery Accumulated Growth Rate(%),,,4.3,4.5,4.5,4.7,4.3,4.3,3.9,3.1,3.3,2.8,3.8,,3.6,3.1,2.7,1.9,2.2,2.2,3.0,3.5,3.8,4.0,4.2,
Inventories of Manufacture of Special Purpose Machinery month-end(100 million yuan),,,10801.10,11414.20,11442.00,11342.20,11482.00,11366.90,11191.30,11295.40,11159.10,10833.00,10817.60,,10613.30,11211.80,11183.70,11005.70,11134.20,11064.80,10817.40,11000.20,10823.20,10553.40,10543.50,
Inventories of Manufacture of Special Purpose Machinery The Same Period of Previous Year(100 million yuan),,,10599.60,11207.80,11200.30,11102.40,11220.60,11196.50,10946.40,11129.90,10935.10,10632.20,10555.60,,10302.00,10840.30,10816.30,10619.30,10732.90,10534.40,10257.80,10373.00,10195.80,9965.40,9803.70,
Inventories of Manufacture of Special Purpose Machinery Accumulated Growth Rate(%),,,1.9,1.8,2.2,2.2,2.3,1.5,2.2,1.5,2.0,1.9,2.5,,3.0,3.4,3.4,3.6,3.7,5.0,5.5,6.0,6.2,5.9,7.5,
Inventories of Manufacture of Automobiles month-end (100 million yuan),,,9508.20,10016.70,9839.90,9561.40,9326.40,9245.10,9035.60,9350.40,9371.40,9330.40,9215.10,,8956.40,9408.30,9321.60,9302.00,9327.30,9204.90,9031.40,9332.70,9412.00,9196.20,9084.50,
Inventories of Manufacture of Automobiles The Same Period of Previous Year(100 million yuan),,,9029.70,9473.20,9468.10,9450.60,9484.20,9348.00,9166.90,9462.50,9527.90,9311.50,9187.30,,9011.30,9585.30,9283.20,9102.40,9145.70,9108.30,9025.80,9327.70,9409.00,9440.10,9389.30,
Inventories of Manufacture of Automobiles Accumulated Growth Rate(%),,,5.3,5.7,3.9,1.2,-1.7,-1.1,-1.4,-1.2,-1.6,0.2,0.3,,-0.6,-1.8,0.4,2.2,2.0,1.1,0.1,0.1,0.0,-2.6,-3.2,
Inventories of Manufacture of Railway Shipping Aerospace and Other Transport Equipments month-end(100 million yuan),,,3739.30,3945.60,3933.10,3844.90,3945.30,3806.10,3611.00,3728.80,3736.00,3482.40,3396.10,,3242.40,3547.40,3498.20,3382.40,3436.60,3389.80,3251.90,3359.40,3222.30,3076.20,3022.10,
Inventories of Manufacture of Railway Shipping Aerospace and Other Transport Equipments The Same Period of Previous Year(100 million yuan),,,3286.20,3587.30,3529.60,3422.20,3525.40,3470.20,3331.10,3464.70,3318.50,3101.60,3046.70,,2942.40,3356.80,3369.00,3326.40,3290.00,3249.30,3161.30,3201.90,3115.30,3062.00,3000.10,
Inventories of Manufacture of Railway Shipping Aerospace and Other Transport Equipments Accumulated Growth Rate(%),,,13.8,10.0,11.4,12.4,11.9,9.7,8.4,7.6,12.6,12.3,11.5,,10.2,5.7,3.8,1.7,4.5,4.3,2.9,4.9,3.4,0.5,0.7,
Inventories of Manufacture of Electrical Machinery and Equipment month-end(100 million yuan),,,14389.00,15005.10,14855.20,14578.40,14433.00,14177.50,13840.60,14077.20,14065.80,13687.40,13444.90,,13131.40,13717.30,13629.50,13526.50,13534.10,13486.80,13207.70,13545.40,13440.20,13085.90,12854.10,
Inventories of Manufacture of Electrical Machinery and Equipment The Same Period of Previous Year(100 million yuan),,,13164.60,13754.30,13680.80,13573.90,13593.70,13532.20,13271.90,13633.50,13506.50,13178.80,12937.20,,13024.20,13762.30,13874.30,13655.00,13725.20,13434.10,12988.20,13392.20,13329.60,13150.10,12960.80,
Inventories of Manufacture of Electrical Machinery and Equipment Accumulated Growth Rate(%),,,9.3,9.1,8.6,7.4,6.2,4.8,4.3,3.3,4.1,3.9,3.9,,0.8,-0.3,-1.8,-0.9,-1.4,0.4,1.7,1.1,0.8,-0.5,-0.8,
Inventories of Manufacture of Communication Equipment Computers and Other Electronic Equipment month-end(100 million yuan),,,24281.60,24960.30,24602.80,24251.50,24241.70,23452.90,22865.30,23412.10,23132.90,22335.00,22280.30,,21737.60,22493.80,22329.80,22182.10,22418.50,21721.10,20809.10,21364.60,20933.40,20214.40,20071.10,
Inventories of Manufacture of Communication Equipment Computers and Other Electronic Equipment The Same Period of Previous Year(100 million yuan),,,21883.20,22655.10,22421.20,22285.70,22581.10,21849.90,20903.60,21468.70,20995.00,20274.20,20101.00,,19774.80,20632.80,20637.50,20479.40,20984.80,20439.90,19860.00,20304.70,20366.10,20208.80,20444.00,
Inventories of Manufacture of Communication Equipment Computers and Other Electronic Equipment Accumulated Growth Rate(%),,,11.0,10.2,9.7,8.8,7.4,7.3,9.4,9.1,10.2,10.2,10.8,,9.9,9.0,8.2,8.3,6.8,6.3,4.8,5.2,2.8,0.0,-1.8,
Inventories of Manufacture of Measuring Instruments month-end(100 million yuan),,,2553.40,2737.40,2732.40,2697.60,2716.50,2671.10,2608.30,2645.10,2609.60,2540.50,2491.70,,2396.00,2559.60,2575.50,2549.90,2560.90,2539.90,2493.30,2529.90,2482.00,2421.50,2393.50,
Inventories of Manufacture of Measuring Instruments The Same Period of Previous Year(100 million yuan),,,2412.30,2582.90,2607.60,2577.90,2604.50,2584.30,2536.40,2568.90,2522.80,2463.00,2444.10,,2358.30,2520.90,2527.20,2491.60,2499.10,2455.60,2401.50,2443.40,2423.50,2368.30,2326.90,
Inventories of Manufacture of Measuring Instruments Accumulated Growth Rate(%),,,5.8,6.0,4.8,4.6,4.3,3.4,2.8,3.0,3.4,3.1,1.9,,1.6,1.5,1.9,2.3,2.5,3.4,3.8,3.5,2.4,2.2,2.9,
Inventories of Other Manufacturing month-end(100 million yuan),,,298.50,293.70,296.50,284.00,287.00,275.30,269.80,270.50,277.10,277.00,270.30,,285.60,281.10,279.50,274.70,269.40,270.60,267.70,268.00,265.50,262.90,255.10,
Inventories of Other Manufacturing The Same Period of Previous Year(100 million yuan),,,290.10,287.60,284.60,283.10,277.90,274.80,272.10,271.10,266.60,263.70,255.00,,269.50,270.10,266.80,261.20,258.30,257.30,254.80,257.00,263.10,258.00,253.70,
Inventories of Other Manufacturing Accumulated Growth Rate(%),,,2.9,2.1,4.2,0.3,3.3,0.2,-0.8,-0.2,3.9,5.0,6.0,,6.0,4.1,4.8,5.2,4.3,5.2,5.1,4.3,0.9,1.9,0.6,
Inventories of Comprehensive Utilization of Waste month-end(100 million yuan),,,1192.20,1210.10,1189.80,1151.40,1117.20,1085.70,1099.70,1093.80,1079.20,1074.30,1032.30,,1125.70,1097.50,1059.90,1042.20,1049.50,1058.40,1055.60,1050.70,1036.40,1010.20,960.20,
Inventories of Comprehensive Utilization of Waste The Same Period of Previous Year(100 million yuan),,,1155.20,1128.80,1082.70,1067.80,1077.10,1082.00,1073.80,1069.50,1052.30,1024.80,970.20,,1020.20,1026.80,1014.10,1019.60,1011.30,1008.60,1010.20,991.00,1020.90,1081.50,1065.90,
Inventories of Comprehensive Utilization of Waste Accumulated Growth Rate(%),,,3.2,7.2,9.9,7.8,3.7,0.3,2.4,2.3,2.6,4.8,6.4,,10.3,6.9,4.5,2.2,3.8,4.9,4.5,6.0,1.5,-6.6,-9.9,
Inventories of Repair of Metal Products Machinery and Equipment month-end(100 million yuan),,,443.50,477.10,489.50,483.80,489.40,465.50,447.10,443.00,434.00,473.90,463.50,,430.30,463.00,469.20,467.10,466.30,452.00,443.20,440.20,431.60,417.40,400.20,
Inventories of Repair of Metal Products Machinery and Equipment The Same Period of Previous Year(100 million yuan),,,383.40,411.10,418.30,414.60,414.20,405.50,392.70,392.10,384.90,426.70,409.40,,381.90,419.80,425.20,405.50,401.20,390.70,377.80,376.50,366.00,362.40,359.50,
Inventories of Repair of Metal Products Machinery and Equipment Accumulated Growth Rate(%),,,15.7,16.1,17.0,16.7,18.2,14.8,13.9,13.0,12.8,11.1,13.2,,12.7,10.3,10.3,15.2,16.2,15.7,17.3,16.9,17.9,15.2,11.3,
Inventories of Production and Supply of Electricity Heat Gas and Water month-end(100 million yuan),,,3368.50,3446.90,3311.90,3220.10,3180.30,3185.20,3206.60,3235.70,3143.00,3100.10,3169.60,,3371.00,3516.60,3401.70,3155.00,3146.70,3190.80,3262.70,3142.10,3004.00,2900.40,2916.70,
Inventories of Production and Supply of Electricity Heat Gas and Water The Same Period of Previous Year(100 million yuan),,,3526.60,3694.50,3582.30,3311.60,3270.60,3290.00,3355.70,3244.90,3098.60,2981.80,2983.30,,3113.90,3295.50,3331.10,3146.60,3131.80,3122.00,3070.80,3066.00,2887.20,2735.20,2753.90,
Inventories of Production and Supply of Electricity Heat Gas and Water Accumulated Growth Rate(%),,,-4.5,-6.7,-7.5,-2.8,-2.8,-3.2,-4.4,-0.3,1.4,4.0,6.2,,8.3,6.7,2.1,0.3,0.5,2.2,6.2,2.5,4.0,6.0,5.9,
Inventories of Production and Supply of Electric Power and Heat Power month-end(100 million yuan),,,2503.70,2516.40,2405.10,2327.50,2292.80,2305.80,2326.80,2347.50,2278.40,2227.10,2283.30,,2572.60,2613.90,2531.20,2321.50,2322.30,2378.70,2465.20,2354.50,2231.80,2150.10,2147.50,
Inventories of Production and Supply of Electric Power and Heat Power The Same Period of Previous Year(100 million yuan),,,2602.90,2639.90,2556.50,2352.00,2338.20,2394.00,2476.40,2362.50,2238.80,2157.10,2158.10,,2330.00,2448.10,2501.70,2329.20,2339.10,2347.40,2317.80,2288.80,2132.20,1979.40,1996.30,
Inventories of Production and Supply of Electric Power and Heat Power Accumulated Growth Rate(%),,,-3.8,-4.7,-5.9,-1.0,-1.9,-3.7,-6.0,-0.6,1.8,3.2,5.8,,10.4,6.8,1.2,-0.3,-0.7,1.3,6.4,2.9,4.7,8.6,7.6,
Inventories of Production and Supply of Gas month-end(100 million yuan),,,516.30,566.50,545.00,529.50,527.70,522.70,519.70,522.00,495.40,509.90,524.10,,426.70,529.60,500.60,466.40,451.10,459.40,444.70,428.70,421.60,418.60,434.20,
Inventories of Production and Supply of Gas The Same Period of Previous Year(100 million yuan),,,560.30,692.00,664.00,601.40,569.30,553.60,536.00,531.10,506.10,491.30,489.00,,467.80,531.40,513.60,502.70,481.50,469.30,451.70,461.20,443.70,452.60,448.90,
Inventories of Production and Supply of Gas Accumulated Growth Rate(%),,,-7.9,-18.1,-17.9,-12.0,-7.3,-5.6,-3.0,-1.7,-2.1,3.8,7.2,,-8.8,-0.3,-2.5,-7.2,-6.3,-2.1,-1.5,-7.0,-5.0,-7.5,-3.3,
Inventories of Production and Supply of Water month-end(100 million yuan),,,348.60,364.10,361.80,363.00,359.80,356.60,360.10,366.20,369.30,363.10,362.20,,371.70,373.10,369.90,367.10,373.40,352.70,352.90,358.90,350.60,331.70,335.00,
Inventories of Production and Supply of Water The Same Period of Previous Year(100 million yuan),,,363.40,362.60,361.80,358.20,363.00,342.50,343.30,351.20,353.70,333.40,336.20,,316.10,316.00,315.70,314.80,311.10,305.30,301.30,316.10,311.20,303.20,308.70,
Inventories of Production and Supply of Water Accumulated Growth Rate(%),,,-4.1,0.4,0.0,1.3,-0.9,4.1,4.9,4.3,4.4,8.9,7.7,,17.6,18.1,17.2,16.6,20.0,15.5,17.1,13.5,12.7,9.4,8.5,
Data Sources:National Bureau of Statistics
