,,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,,
,,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,,
,,商業計,卸売業計,各種商品卸売業,繊維品卸売業,衣服・身の回り品卸売業,農畜産物・水産物卸売業,食料・飲料卸売業,建築材料卸売業,化学製品卸売業,鉱物・金属材料卸売業,機械器具卸売業,産業機械器具卸売業,自動車卸売業,電気機械器具卸売業,その他の機械器具卸売業,家具・建具・じゅう器卸売業,医薬品・化粧品卸売業,その他の卸売業,小売業計,各種商品小売業,織物・衣服・身の回り品小売業,飲食料品小売業,自動車小売業,機械器具小売業,燃料小売業,医薬品・化粧品小売業,その他小売業,無店舗小売業,参考(医薬品化粧品小売業、その他小売業の計),参考１(自動車小売業､機械器具小売業、燃料小売業、医薬品化粧品小売業、その他小売業の計),参考２(燃料小売業、医薬品化粧品小売業、その他小売業の計),,
時間軸コード,年月,Total,Wholesale,General Merchandise,Textiles,Apparel & Accessories,Livestock & Aquatic Products,Food & Beverages,Building Materials,Chemicals,Minerals & Metals,Machinery & Equipment,Industriy Machinery & Equipment,Motor Vehicles,Electorical Machinery & Equipment,Others,Furniture & House Furnishings,Medicines & Toiletries,Others,Retail,General Merchandise,Fabrics Apparel & Accessories,Food & Beverages,Motor Vehicles(*1),Machinery & Equipment(*2),Fuel(*3),Medicine & Toiletry Stores(*4),Others(*5),Nonstore retailers,Total of(*4)&(*5),Total of(*1)～(*5),Total of(*3)～(*5),Month,Year
2005001111,2005年11月,45498,34419,3874,359,1122,3139,3393,2011,1895,4512,8380,2122,1411,3896,952,513,1931,3290,11079,1366,944,3255,1274,674,1071,***,***,***,2495,5513,3565,Nov,2005
2005001212,2005年12月,52039,38654,5163,364,1156,3949,4101,1913,1898,4773,8953,2204,1452,4270,1027,538,2309,3536,13385,1762,1109,4134,1242,929,1293,***,***,***,2916,6380,4209,Dec,2005
2006000101,2006年1月,41721,30647,3724,325,954,2898,2805,1576,1737,4512,7307,1825,1201,3423,859,397,1550,2865,11074,1419,1027,3190,1124,693,1192,***,***,***,2430,5438,3621,Jan,2006
2006000202,2006年2月,42501,32257,4019,332,986,2821,2904,1765,1814,4589,7929,1953,1318,3735,923,449,1654,2995,10244,1106,739,3060,1344,602,1124,***,***,***,2270,5339,3394,Feb,2006
2006000303,2006年3月,53457,41331,6276,394,1237,3164,3482,2023,2114,5033,11416,2588,1810,5645,1373,568,1974,3650,12126,1319,925,3344,1874,768,1192,***,***,***,2703,6537,3895,Mar,2006
2006000404,2006年4月,44665,33432,3825,339,1185,3041,3513,1676,1906,4551,7573,1885,1347,3402,939,496,2004,3323,11233,1260,932,3331,1252,674,1071,***,***,***,2714,5711,3785,Apr,2006
2006000505,2006年5月,42886,31904,3807,334,1018,2967,3385,1626,1808,4300,7183,1783,1266,3259,875,432,1789,3254,10982,1250,890,3373,1170,641,1014,***,***,***,2644,5468,3657,May,2006
2006000606,2006年6月,45395,34430,4051,363,997,2904,3540,1856,1918,4696,8161,1927,1412,3875,947,458,1916,3570,10965,1267,877,3333,1296,676,964,***,***,***,2551,5487,3515,Jun,2006
2006000707,2006年7月,44780,33207,3722,344,923,2998,3585,1824,1869,4783,7715,1879,1384,3603,849,446,1832,3166,11573,1428,972,3428,1302,791,1047,***,***,***,2605,5744,3652,Jul,2006
2006000808,2006年8月,44210,33401,4052,341,904,3092,3591,1770,1833,4806,7485,1857,1242,3541,844,427,1870,3231,10809,1173,727,3554,1050,673,1094,***,***,***,2539,5356,3633,Aug,2006
2006000909,2006年9月,46977,36337,4666,386,1093,2935,3334,1999,1958,5031,9307,2204,1532,4551,1019,454,1862,3313,10639,1164,797,3278,1295,632,1017,***,***,***,2455,5400,3472,Sep,2006
2006001010,2006年10月,45143,34261,3937,348,1123,2889,3317,2005,1979,4986,8017,2021,1401,3709,886,443,1903,3313,10881,1271,932,3316,1169,625,1034,***,***,***,2534,5363,3568,Oct,2006
2006001111,2006年11月,45820,34783,3956,350,1062,2776,3353,2056,1986,5095,8359,2023,1516,3929,892,468,1952,3371,11037,1340,921,3225,1255,691,1084,***,***,***,2522,5552,3606,Nov,2006
2006001212,2006年12月,51703,38356,4500,361,1106,3542,4105,1979,2002,5324,8962,2119,1524,4287,1032,497,2313,3666,13347,1705,1047,4167,1219,943,1236,***,***,***,3029,6427,4265,Dec,2006
2007000101,2007年1月,41507,30548,3693,316,881,2441,2770,1653,1783,4823,7401,1813,1281,3461,845,362,1532,2894,10959,1403,948,3224,1075,707,1089,***,***,***,2513,5384,3602,Jan,2007
2007000202,2007年2月,42560,32333,3692,332,951,2444,2871,1823,1852,4961,8168,1968,1412,3865,923,415,1742,3080,10227,1102,736,3114,1266,635,1020,***,***,***,2353,5275,3374,Feb,2007
2007000303,2007年3月,52573,40521,5143,399,1184,2922,3334,1966,2078,5565,11564,2669,1866,5699,1330,530,2021,3816,12052,1288,917,3469,1726,798,1102,***,***,***,2752,6378,3854,Mar,2007
2007000404,2007年4月,45425,34185,3809,338,1153,2745,3360,1714,1985,5074,8104,1970,1564,3574,997,465,2000,3437,11239,1228,924,3378,1154,690,1023,***,***,***,2842,5709,3864,Apr,2007
2007000505,2007年5月,44429,33358,3940,344,1011,2769,3360,1711,1915,5049,7675,1916,1449,3408,903,411,1856,3316,11071,1232,892,3426,1114,647,979,***,***,***,2781,5520,3759,May,2007
2007000606,2007年6月,46381,35379,4275,361,992,2700,3502,1859,2002,5296,8627,2087,1610,3933,997,422,1916,3427,11002,1271,880,3316,1198,692,958,***,***,***,2688,5536,3646,Jun,2007
2007000707,2007年7月,45857,34463,3860,341,916,2760,3558,1826,1998,5348,8131,2076,1565,3580,910,431,1890,3402,11395,1370,893,3402,1235,772,1021,***,***,***,2702,5731,3723,Jul,2007
2007000808,2007年8月,45012,34075,3963,337,904,2753,3606,1748,1921,5340,7888,2072,1433,3514,869,406,1914,3296,10937,1170,740,3533,1057,710,1092,***,***,***,2635,5494,3727,Aug,2007
2007000909,2007年9月,47141,36374,4494,369,1063,2721,3295,1890,1970,5493,9380,2282,1651,4428,1019,435,1865,3399,10767,1134,788,3304,1293,663,1010,***,***,***,2575,5541,3585,Sep,2007
2007001010,2007年10月,46881,35839,4162,341,1136,2754,3341,1960,2092,5874,8273,2099,1566,3722,886,443,2003,3459,11041,1250,932,3330,1193,636,1044,***,***,***,2656,5530,3701,Oct,2007
2007001111,2007年11月,47449,36176,4062,346,1066,2650,3411,1975,2104,5958,8651,2089,1685,3998,879,459,1991,3504,11273,1343,917,3305,1274,702,1100,***,***,***,2632,5708,3732,Nov,2007
2007001212,2007年12月,52744,39291,4521,343,1072,3286,4148,1908,2080,6296,9156,2142,1622,4379,1013,465,2312,3702,13452,1675,1027,4180,1227,965,1259,***,***,***,3120,6571,4379,Dec,2007
2008000101,2008年1月,43074,31906,3814,305,828,2354,2793,1634,1897,5653,7568,1860,1395,3479,835,354,1630,3076,11168,1384,963,3238,1136,721,1144,***,***,***,2582,5583,3726,Jan,2008
2008000202,2008年2月,44994,34410,3966,320,928,2416,3023,1806,2029,6042,8377,2017,1568,3844,947,411,1784,3307,10585,1114,744,3182,1305,629,1169,***,***,***,2441,5544,3610,Feb,2008
2008000303,2008年3月,53575,41333,5066,364,1127,2762,3313,1933,2218,6391,11768,2702,2069,5676,1321,509,2016,3866,12242,1292,910,3486,1767,817,1147,***,***,***,2824,6554,3970,Mar,2008
2008000404,2008年4月,47344,36113,4297,324,1108,2657,3467,1707,2111,5894,8378,1983,1569,3820,1007,456,2123,3591,11231,1207,896,3399,1204,677,1058,***,***,***,2790,5728,3848,Apr,2008
2008000505,2008年5月,46107,35004,4096,320,965,2654,3420,1668,1986,5973,8104,1965,1474,3729,934,400,1923,3494,11102,1211,858,3526,1117,662,990,***,***,***,2739,5507,3729,May,2008
2008000606,2008年6月,48153,37116,4810,334,896,2586,3471,1787,2111,6175,9143,2114,1626,4338,1065,409,1948,3446,11036,1217,863,3432,1189,702,985,***,***,***,2649,5524,3634,Jun,2008
2008000707,2008年7月,49877,38239,4858,317,885,2680,3752,1874,2201,6714,8982,2111,1650,4215,1006,420,2049,3507,11638,1366,890,3507,1253,824,1060,***,***,***,2738,5876,3798,Jul,2008
2008000808,2008年8月,46210,35193,4608,297,840,2668,3457,1709,1950,5980,8226,1974,1467,3855,930,379,1882,3197,11016,1144,724,3647,1035,738,1059,***,***,***,2669,5502,3729,Aug,2008
2008000909,2008年9月,48521,37788,5038,336,943,2766,3317,1848,2081,6267,9472,2230,1494,4653,1095,414,1994,3311,10732,1093,773,3353,1287,657,1016,***,***,***,2553,5514,3569,Sep,2008
2008001010,2008年10月,46214,35242,4233,322,969,2706,3364,1910,2063,5883,8122,1910,1458,3796,957,408,2030,3233,10973,1185,893,3465,1170,626,986,***,***,***,2648,5430,3634,Oct,2008
2008001111,2008年11月,43274,32083,3494,286,862,2587,3221,1802,1797,5118,7676,1773,1393,3615,894,392,1872,2977,11191,1289,919,3463,1174,711,1019,***,***,***,2617,5520,3635,Nov,2008
2008001212,2008年12月,46763,33660,3645,289,874,3193,3980,1731,1656,4728,7734,1785,1242,3756,951,399,2329,3102,13103,1557,976,4296,1192,905,1104,***,***,***,3073,6274,4178,Dec,2008
2009000101,2009年1月,36354,25413,2610,234,690,2218,2724,1432,1320,3906,5880,1472,1010,2621,776,307,1625,2467,10941,1271,921,3364,1116,730,962,***,***,***,2577,5385,3539,Jan,2009
2009000202,2009年2月,35246,25232,2592,224,695,2163,2771,1497,1288,3508,5942,1469,949,2702,822,321,1719,2513,10014,991,690,3202,1234,614,895,***,***,***,2388,5131,3283,Feb,2009
2009000303,2009年3月,40991,29186,3285,269,825,2469,3171,1473,1470,3801,7229,1724,1141,3384,981,353,1997,2842,11805,1145,856,3539,1668,795,960,***,***,***,2841,6264,3801,Mar,2009
2009000404,2009年4月,36850,25917,2617,245,775,2400,3221,1307,1427,3247,5677,1312,943,2617,805,328,2001,2673,10933,1081,874,3441,1209,657,877,***,***,***,2793,5537,3670,Apr,2009
2009000505,2009年5月,35025,24222,2420,227,660,2294,3057,1201,1322,3158,5352,1185,880,2581,706,289,1770,2471,10803,1084,852,3573,1096,647,864,***,***,***,2687,5294,3551,May,2009
2009000606,2009年6月,37106,26399,2789,250,649,2380,3193,1319,1430,3482,6152,1316,999,3130,706,308,1913,2534,10707,1094,805,3434,1205,692,935,***,***,***,2541,5374,3477,Jun,2009
2009000707,2009年7月,38064,26713,2613,255,643,2464,3369,1295,1481,3633,6080,1273,1020,3126,661,318,1960,2603,11351,1208,879,3554,1334,806,983,***,***,***,2588,5710,3571,Jul,2009
2009000808,2009年8月,36126,25299,2492,241,632,2486,3136,1221,1359,3592,5570,1212,899,2832,627,277,1853,2440,10827,1024,724,3696,1122,731,968,***,***,***,2561,5383,3529,Aug,2009
2009000909,2009年9月,38111,27520,2927,279,761,2398,3090,1334,1563,3733,6494,1367,1104,3338,685,303,1989,2648,10592,996,776,3384,1341,668,914,***,***,***,2512,5435,3426,Sep,2009
2009001010,2009年10月,37607,26743,2589,267,766,2422,3082,1333,1573,3947,5930,1166,1057,3115,592,295,2006,2532,10864,1058,877,3438,1303,669,951,***,***,***,2570,5492,3521,Oct,2009
2009001111,2009年11月,37322,26263,2620,257,663,2290,2990,1325,1502,3949,5999,1173,1127,3106,593,295,1950,2421,11058,1120,896,3363,1422,714,996,***,***,***,2547,5679,3543,Nov,2009
2009001212,2009年12月,42139,29073,3017,266,671,2739,3688,1336,1528,4250,6352,1165,1117,3414,656,306,2300,2618,13066,1438,995,4182,1366,930,1205,***,***,***,2951,6452,4156,Dec,2009
2010000101,2010年1月,35353,24197,2835,233,520,1940,2593,1168,1396,4026,5450,1044,1023,2863,520,250,1621,2166,11156,1185,975,3392,1264,758,1070,***,***,***,2512,5603,3582,Jan,2010
2010000202,2010年2月,35366,24961,2561,241,522,1985,2730,1250,1475,4076,5883,1134,1119,3048,581,275,1693,2272,10404,941,745,3217,1419,664,1079,***,***,***,2339,5501,3418,Feb,2010
2010000303,2010年3月,42329,29993,3577,290,623,2301,3134,1322,1731,4543,7385,1437,1352,3878,718,308,2073,2704,12336,1086,921,3565,2001,900,1148,***,***,***,2715,6764,3863,Mar,2010
2010000404,2010年4月,38488,27051,2901,255,606,2326,3218,1163,1592,4181,5886,1111,1107,3115,553,275,2135,2513,11437,1037,892,3486,1448,743,1079,***,***,***,2751,6022,3830,Apr,2010
2010000505,2010年5月,35787,24683,2753,234,509,2093,2998,1101,1437,3866,5449,992,1050,2905,502,235,1801,2208,11104,1044,881,3561,1244,683,1027,***,***,***,2665,5619,3692,May,2010
2010000606,2010年6月,37909,26845,2972,257,507,2092,3226,1230,1571,4073,6325,1115,1226,3401,583,245,2028,2319,11064,1054,857,3470,1355,727,1011,***,***,***,2589,5682,3601,Jun,2010
2010000707,2010年7月,38877,27044,2897,253,501,2195,3483,1236,1576,4170,6141,1085,1190,3300,566,256,2014,2321,11833,1181,945,3635,1450,852,1067,710,1994,***,2703,6072,3770,Jul,2010
2010000808,2010年8月,37242,25919,2817,251,466,2226,3388,1177,1441,4011,5780,1037,1060,3138,545,245,1936,2180,11323,998,733,3742,1319,803,1079,681,1968,***,2649,5850,3729,Aug,2010
2010000909,2010年9月,39056,28267,3309,285,561,2225,3279,1295,1537,4197,6707,1246,1203,3608,651,255,2043,2574,10790,972,775,3458,1361,734,989,657,1842,***,2499,5584,3489,Sep,2010
2010001010,2010年10月,38062,27133,2823,272,612,2262,3176,1317,1526,4164,6202,1062,1119,3424,597,260,1974,2545,10928,1064,934,3520,999,800,1001,678,1933,***,2611,5411,3612,Oct,2010
2010001111,2010年11月,39466,28176,2812,280,608,2222,3195,1427,1562,4409,6607,1146,1190,3708,562,273,2062,2719,11290,1116,899,3487,1051,1028,1083,676,1948,***,2625,5787,3708,Nov,2010
2010001212,2010年12月,43709,30894,3233,282,607,2709,3930,1373,1559,4633,6903,1205,1121,3943,634,296,2423,2946,12815,1402,1004,4260,1042,823,1265,745,2272,***,3017,6147,4282,Dec,2010
2011000101,2011年1月,36636,25452,2955,242,492,1968,2635,1188,1419,4427,5710,1017,1044,3140,508,223,1739,2454,11184,1171,973,3515,1013,686,1202,668,1956,***,2624,5525,3826,Jan,2011
2011000202,2011年2月,37355,26908,2873,259,486,2028,2844,1275,1494,4559,6363,1159,1156,3502,545,259,1843,2625,10447,946,760,3354,1161,652,1161,639,1774,***,2413,5387,3574,Feb,2011
2011000303,2011年3月,41793,30443,3453,293,535,2043,3160,1303,1636,4970,7545,1406,1201,4247,692,307,2191,3008,11350,976,826,3595,1326,769,1215,708,1936,***,2643,5954,3858,Mar,2011
2011000404,2011年4月,37695,26706,2936,263,559,1931,3226,1177,1561,4368,5612,1087,933,3048,544,283,2095,2698,10988,1015,933,3551,914,703,1094,702,2075,***,2777,5489,3872,Apr,2011
2011000505,2011年5月,36332,25275,2893,249,516,1879,3084,1125,1388,4006,5534,1066,922,3031,515,248,1873,2480,11057,1016,906,3637,948,732,1046,676,2096,***,2772,5498,3818,May,2011
2011000606,2011年6月,39130,27861,3263,265,516,1922,3305,1278,1529,4276,6482,1190,1040,3695,557,267,2045,2714,11269,1045,886,3607,1115,849,1037,710,2021,***,2731,5731,3768,Jun,2011
2011000707,2011年7月,39753,27819,3090,254,502,1974,3524,1287,1485,4247,6341,1171,1050,3595,525,272,1999,2843,11934,1184,957,3764,1169,953,1088,720,2100,***,2819,6029,3907,Jul,2011
2011000808,2011年8月,38243,27193,3215,257,472,1994,3423,1281,1439,4182,5922,1135,1016,3236,535,250,2060,2698,11050,972,743,3783,1072,664,1115,712,1990,***,2702,5553,3817,Aug,2011
2011000909,2011年9月,39086,28454,3455,294,541,1950,3342,1336,1498,4247,6644,1252,1156,3624,613,267,2052,2828,10633,933,770,3438,1344,570,1014,676,1889,***,2564,5492,3579,Sep,2011
2011001010,2011年10月,38462,27379,3228,283,593,2027,3294,1384,1462,4247,5782,1060,1114,3085,523,262,2059,2758,11083,1044,959,3558,1203,554,1039,719,2006,***,2726,5522,3764,Oct,2011
2011001111,2011年11月,38593,27568,3152,287,546,1930,3378,1461,1464,4341,5922,1077,1129,3183,533,271,2096,2719,11025,1088,923,3494,1243,521,1097,704,1956,***,2660,5520,3756,Nov,2011
2011001212,2011年12月,43380,30243,3677,278,564,2411,4066,1423,1447,4534,6245,1066,1097,3494,589,292,2398,2909,13137,1394,1050,4311,1190,750,1339,785,2318,***,3103,6382,4442,Dec,2011
2012000101,2012年1月,35854,24492,3107,251,434,1746,2861,1175,1287,4131,5130,936,956,2748,491,216,1736,2417,11362,1152,994,3547,1244,590,1195,682,1958,***,2640,5669,3835,Jan,2012
2012000202,2012年2月,37325,26556,3177,256,435,1847,3052,1322,1390,4441,5851,1044,1114,3162,530,250,1868,2666,10768,938,765,3437,1404,538,1221,676,1789,***,2465,5628,3687,Feb,2012
2012000303,2012年3月,43129,30726,3980,304,543,2086,3419,1338,1503,4806,7279,1295,1332,3978,674,313,2086,3069,12403,1049,958,3704,1973,642,1290,713,2074,***,2787,6692,4078,Mar,2012
2012000404,2012年4月,38355,26822,3196,251,554,1927,3385,1197,1413,4181,5500,983,1063,2916,539,279,2134,2805,11533,1005,978,3592,1395,556,1177,703,2128,***,2830,5959,4008,Apr,2012
2012000505,2012年5月,37308,25924,3193,247,518,1862,3309,1202,1359,3994,5399,956,1069,2865,509,243,1969,2628,11385,1006,918,3664,1381,545,1072,698,2102,***,2799,5797,3872,May,2012
2012000606,2012年6月,38114,26870,3089,246,504,1792,3384,1304,1394,4007,6217,1021,1189,3464,543,257,2016,2660,11244,1011,883,3595,1525,575,975,712,1968,***,2680,5755,3655,Jun,2012
2012000707,2012年7月,38502,26720,3025,244,490,1789,3401,1324,1374,3988,6097,1044,1195,3348,510,255,2043,2691,11783,1127,953,3705,1532,697,1013,740,2017,***,2756,5998,3770,Jul,2012
2012000808,2012年8月,37203,26008,2973,238,478,1814,3417,1289,1334,3866,5673,992,1041,3123,517,239,2034,2653,11195,961,769,3825,1270,582,1060,723,2004,***,2727,5640,3787,Aug,2012
2012000909,2012年9月,37664,26990,3090,268,526,1765,3232,1389,1359,4002,6390,1114,1142,3569,566,252,1986,2731,10673,918,770,3499,1318,566,1016,700,1886,***,2586,5486,3602,Sep,2012
2012001010,2012年10月,37840,26892,3021,268,601,1901,3320,1452,1454,4175,5579,994,1076,2986,523,254,2080,2788,10947,1012,941,3587,1159,524,1049,730,1946,***,2676,5408,3725,Oct,2012
2012001111,2012年11月,38248,27119,2937,271,601,1856,3352,1496,1452,4302,5731,998,1089,3109,535,262,2104,2756,11129,1105,959,3517,1233,508,1117,708,1982,***,2690,5549,3807,Nov,2012
2012001212,2012年12月,42660,29498,3344,277,573,2319,3969,1461,1452,4495,6071,1027,1060,3423,560,281,2364,2891,13162,1398,1055,4354,1152,706,1365,796,2337,***,3133,6356,4498,Dec,2012
2013000101,2013年1月,35743,24511,3209,262,457,1662,2803,1207,1324,4299,4836,869,916,2586,465,207,1811,2435,11232,1110,993,3552,1107,564,1250,696,1960,***,2655,5577,3906,Jan,2013
2013000202,2013年2月,36744,26212,3279,266,441,1690,3012,1378,1411,4479,5463,963,1045,2951,503,242,1891,2661,10532,907,754,3403,1258,515,1246,680,1768,***,2449,5468,3695,Feb,2013
2013000303,2013年3月,42555,30188,3755,318,550,1891,3443,1485,1559,4737,6964,1244,1303,3793,624,301,2140,3044,12368,1090,1012,3770,1685,628,1294,749,2138,***,2887,6495,4181,Mar,2013
2013000404,2013年4月,38309,26794,2995,275,566,1879,3508,1326,1470,4236,5239,896,1044,2786,513,251,2199,2849,11515,992,966,3625,1408,527,1157,722,2117,***,2839,5931,3996,Apr,2013
2013000505,2013年5月,37521,26042,3126,258,478,1822,3410,1308,1418,4086,5204,907,994,2827,475,222,2033,2679,11479,1015,970,3712,1294,521,1107,727,2134,***,2861,5783,3968,May,2013
2013000606,2013年6月,38306,26884,3120,251,508,1770,3509,1413,1429,4026,5927,996,1099,3311,521,236,2039,2655,11423,1066,968,3628,1426,591,1026,716,2002,***,2718,5761,3745,Jun,2013
2013000707,2013年7月,39013,27265,3182,251,472,1809,3628,1427,1441,4176,5829,1014,1128,3181,505,238,2107,2706,11749,1113,962,3751,1435,646,1093,749,2000,***,2749,5922,3842,Jul,2013
2013000808,2013年8月,37429,26115,2990,239,452,1817,3593,1363,1335,3984,5499,987,1015,3011,487,221,2041,2579,11313,965,798,3884,1229,585,1123,728,2001,***,2729,5666,3852,Aug,2013
2013000909,2013年9月,38707,27715,3326,271,514,1768,3354,1455,1404,4163,6434,1111,1176,3612,536,253,2035,2737,10992,936,798,3569,1465,549,1060,704,1910,***,2614,5689,3675,Sep,2013
2013001010,2013年10月,38593,27378,3078,275,551,1905,3457,1490,1480,4250,5662,968,1138,3064,491,254,2167,2809,11215,1007,921,3639,1328,553,1095,746,1925,***,2671,5648,3767,Oct,2013
2013001111,2013年11月,39355,27768,3119,277,570,1905,3467,1574,1457,4389,5826,1016,1151,3163,496,262,2134,2788,11588,1108,985,3638,1404,549,1185,725,1994,***,2719,5856,3904,Nov,2013
2013001212,2013年12月,43858,30366,3607,278,577,2325,4153,1537,1458,4595,6185,1043,1097,3519,526,281,2433,2937,13492,1400,1060,4447,1319,712,1377,801,2376,***,3177,6585,4554,Dec,2013
2014000101,2014年1月,37309,25588,3217,265,461,1675,2951,1318,1384,4485,5270,919,985,2913,453,218,1848,2496,11721,1117,1014,3627,1342,606,1284,717,2015,***,2732,5964,4016,Jan,2014
2014000202,2014年2月,37655,26739,3282,261,442,1702,3068,1412,1424,4494,5834,1010,1114,3220,490,244,1902,2675,10916,926,759,3459,1450,572,1253,698,1799,***,2497,5771,3749,Feb,2014
2014000303,2014年3月,46176,32442,4113,320,573,1989,3769,1645,1631,4877,7529,1310,1409,4161,649,323,2440,3232,13733,1304,1085,3974,1840,863,1363,851,2454,***,3305,7371,4668,Mar,2014
2014000404,2014年4月,36997,25981,3201,274,505,1890,3385,1293,1430,4074,5036,868,1002,2688,478,245,1970,2677,11016,905,949,3561,1269,465,1099,713,2055,***,2768,5601,3867,Apr,2014
2014000505,2014年5月,37140,25711,3290,268,453,1864,3477,1298,1341,4009,5041,911,974,2707,449,217,1837,2617,11430,988,994,3796,1245,482,1095,726,2105,***,2830,5651,3925,May,2014
2014000606,2014年6月,38095,26739,3374,279,451,1806,3562,1347,1412,4039,5684,999,1108,3072,506,221,1943,2619,11357,1034,944,3684,1372,551,1054,723,1994,***,2716,5694,3771,Jun,2014
2014000707,2014年7月,39054,27233,3096,288,440,1875,3796,1415,1459,4297,5632,988,1151,3010,484,223,2038,2673,11821,1100,970,3800,1427,619,1107,756,2041,***,2797,5951,3904,Jul,2014
2014000808,2014年8月,36847,25392,2926,255,421,1857,3545,1257,1313,3919,5242,940,1011,2837,454,206,1899,2552,11454,982,823,3995,1212,562,1107,736,2038,***,2774,5655,3881,Aug,2014
2014000909,2014年9月,39335,28089,3364,304,519,1906,3492,1444,1459,4277,6293,1118,1260,3392,523,220,2043,2768,11246,944,877,3691,1480,531,1065,730,1930,***,2659,5735,3724,Sep,2014
2014001010,2014年10月,38719,27351,3191,303,537,1851,3617,1464,1512,4279,5547,969,1194,2911,473,216,2088,2749,11368,1006,964,3762,1309,523,1083,760,1960,***,2721,5636,3804,Oct,2014
2014001111,2014年11月,38289,26642,3096,278,505,1797,3541,1435,1402,4210,5532,967,1167,2941,458,216,1949,2681,11646,1120,1026,3737,1330,543,1122,741,2026,***,2768,5764,3890,Nov,2014
2014001212,2014年12月,43262,29753,3386,281,543,2327,4352,1387,1452,4285,6125,1076,1144,3396,509,242,2434,2940,13510,1396,1093,4504,1288,666,1313,839,2410,***,3249,6516,4561,Dec,2014
2015000101,2015年1月,36289,24800,3126,264,449,1742,3116,1232,1335,3921,5079,926,990,2739,423,182,1860,2492,11489,1108,1022,3726,1279,556,1083,732,1983,***,2715,5634,3799,Jan,2015
2015000202,2015年2月,36403,25677,3128,276,446,1756,3262,1334,1363,3919,5488,1003,1103,2932,450,210,1927,2568,10726,938,774,3555,1412,517,1028,709,1793,***,2502,5459,3529,Feb,2015
2015000303,2015年3月,42335,29932,3921,317,507,1954,3723,1382,1521,4161,6917,1349,1339,3666,561,262,2291,2976,12403,1096,1015,3891,1769,625,1092,790,2124,***,2915,6401,4007,Mar,2015
2015000404,2015年4月,37920,26363,3196,281,506,1973,3802,1242,1378,3699,5112,907,1043,2701,461,233,2184,2759,11556,995,998,3783,1369,516,999,754,2141,***,2895,5780,3894,Apr,2015
2015000505,2015年5月,36431,24659,3096,266,440,1907,3602,1170,1210,3546,4766,850,957,2537,422,211,1948,2496,11772,1038,1037,3982,1299,524,963,758,2171,***,2929,5715,3892,May,2015
2015000606,2015年6月,38513,27043,3371,289,437,1917,3853,1338,1360,3752,5727,1000,1111,3113,503,220,2129,2651,11470,1026,952,3803,1480,530,944,759,1976,***,2734,5689,3679,Jun,2015
2015000707,2015年7月,39078,27048,3066,289,427,1956,3981,1386,1391,3854,5689,973,1113,3116,488,221,2151,2635,12030,1119,936,3679,1480,564,1007,784,1828,632,2612,***,***,Jul,2015
2015000808,2015年8月,36724,25183,2902,259,425,1942,3865,1259,1233,3560,5160,858,947,2890,465,205,1983,2390,11541,1000,784,3840,1261,525,987,753,1806,585,2559,***,***,Aug,2015
2015000909,2015年9月,38500,27268,3314,296,523,1943,3841,1383,1337,3681,5995,992,1170,3314,520,223,2152,2580,11232,953,840,3551,1476,461,898,752,1695,607,2447,***,***,Sep,2015
2015001010,2015年10月,38430,26857,3076,310,554,1975,3924,1461,1386,3722,5371,900,1113,2908,450,214,2267,2596,11574,1038,950,3642,1349,465,941,795,1754,639,2549,***,***,Oct,2015
2015001111,2015年11月,37583,26067,3041,278,490,1831,3804,1449,1296,3595,5425,913,1086,2982,445,222,2145,2490,11516,1101,926,3533,1346,480,961,760,1757,653,2517,***,***,Nov,2015
2015001212,2015年12月,41937,28579,3252,283,523,2267,4666,1430,1323,3702,5734,942,1067,3246,480,216,2522,2660,13357,1386,1038,4326,1258,588,1096,878,2088,699,2966,***,***,Dec,2015
2016000101,2016年1月,34723,23255,2744,248,419,1680,3278,1232,1168,3345,4877,821,963,2684,410,176,1863,2224,11468,1103,964,3542,1301,500,956,766,1729,608,2495,***,***,Jan,2016
2016000202,2016年2月,35421,24655,2810,253,419,1797,3541,1397,1253,3336,5166,875,1050,2784,457,214,2032,2438,10766,947,722,3402,1394,434,918,757,1572,619,2329,***,***,Feb,2016
2016000303,2016年3月,40181,27898,3306,287,482,1930,4001,1413,1371,3531,6266,1029,1256,3434,546,254,2226,2831,12283,1085,961,3728,1717,529,932,820,1842,670,2662,***,***,Mar,2016
2016000404,2016年4月,36404,24955,2760,263,448,1900,3993,1264,1294,3164,4850,824,997,2604,425,212,2314,2496,11449,972,926,3603,1375,445,862,762,1868,636,2630,***,***,Apr,2016
2016000505,2016年5月,34531,23002,2654,233,383,1778,3658,1185,1151,3049,4603,803,937,2477,386,188,1912,2208,11529,997,945,3724,1335,451,839,760,1854,623,2615,***,***,May,2016
2016000606,2016年6月,36403,25079,3056,241,375,1797,3859,1331,1267,3230,5355,908,1090,2923,433,199,2053,2317,11324,992,869,3564,1479,470,835,767,1701,647,2468,***,***,Jun,2016
