2008年12月01日 (11月),18:00,5.40%,,8.20%
2009年1月01日 (12月),18:00,5.70%,,5.40%
2009年3月01日 (2月),18:00,11.00%,,5.70%
2009年4月01日 (3月),18:00,8.30%,,11.00%
2009年5月01日 (4月),18:00,7.30%,,8.30%
2009年6月01日 (5月),18:00,8.90%,,7.30%
2009年7月01日 (6月),18:00,10.70%,,8.90%
2009年8月01日 (7月),18:00,10.80%,,10.70%
2009年9月01日 (8月),18:00,12.30%,,10.80%
2009年10月01日 (9月),18:00,13.90%,,12.30%
2009年11月01日 (10月),18:00,16.10%,,13.90%
2009年12月01日 (11月),18:00,19.20%,,16.10%
2010年1月01日 (12月),18:00,18.50%,,19.20%
2010年3月01日 (2月),18:00,12.80%,,18.50%
2010年4月01日 (3月),18:00,18.10%,,12.80%
2010年5月01日 (4月),18:00,17.80%,,18.10%
2010年6月01日 (5月),18:00,16.50%,,17.80%
2010年7月01日 (6月),18:00,13.70%,,16.50%
2010年8月01日 (7月),18:00,13.40%,,13.70%
2010年9月01日 (8月),18:00,13.90%,,13.40%
2010年10月01日 (9月),18:00,13.30%,,13.90%
2010年11月01日 (10月),18:00,13.10%,,13.30%
2010年12月11日,11:00,13.30%,13.00%,13.10%
2011年1月20日,11:00,13.50%,13.30%,13.30%
2011年3月11日,11:00,14.10%,13.00%,13.50%
2011年4月15日,11:00,14.80%,14.80%,14.10%
2011年5月11日,11:00,13.40%,14.70%,14.80%
2011年6月14日,11:00,13.30%,13.10%,13.40%
2011年7月13日,11:00,15.10%,13.10%,13.30%
2011年08月09日,16:40,14.00%,14.60%,15.10%
2011年09月09日,14:30,13.50%,14.00%,14.00%
2011年10月18日,11:00,13.80%,13.30%,13.50%
2011年11月09日,14:50,13.20%,13.40%,13.80%
2011年12月09日,14:30,12.40%,12.80%,13.20%
2012年1月17日,11:00,12.80%,12.30%,12.40%
2012年03月09日,14:30,11.40%,12.40%,12.80%
2012年4月13日,11:00,11.90%,11.50%,11.40%
2012年5月11日,14:30,9.30%,12.00%,11.90%
2012年06月09日,14:30,9.60%,9.90%,9.30%
2012年7月13日,11:00,9.50%,9.80%,9.60%
2012年08月09日,14:30,9.20%,9.80%,9.50%
2012年09月09日,14:30,8.90%,9.10%,9.20%
2012年10月18日,11:00,9.20%,9.00%,8.90%
2012年11月09日,14:30,9.60%,9.40%,9.20%
2012年12月09日,14:30,10.10%,9.80%,9.60%
2013年1月18日,11:00,10.30%,10.10%,10.10%
2013年03月09日,14:30,9.90%,10.50%,10.30%
2013年4月15日,11:00,8.90%,10.00%,9.90%
2013年5月13日,14:30,9.30%,9.50%,8.90%
2013年06月09日,14:30,9.20%,9.30%,9.30%
2013年7月15日,11:00,8.90%,9.10%,9.20%
2013年08月09日,14:30,9.70%,9.00%,8.90%
2013年9月10日,14:30,10.40%,9.90%,9.70%
2013年10月18日,11:00,10.20%,10.10%,10.40%
2013年11月09日,14:30,10.30%,10.00%,10.20%
2013年12月10日,14:30,10.00%,10.10%,10.30%
2014年1月20日,11:00,9.70%,9.80%,10.00%
2014年3月13日,14:50,8.60%,9.50%,9.70%
2014年4月16日,11:00,8.80%,9.00%,8.60%
2014年5月13日,14:30,8.70%,8.90%,8.80%
2014年6月13日,14:30,8.80%,8.80%,8.70%
2014年7月16日,11:00,9.20%,9.00%,8.80%
2014年8月13日,14:30,9.00%,9.00%,9.20%
2014年9月13日,14:30,6.90%,8.80%,9.00%
2014年10月21日 (9月),11:00,8.00%,7.50%,6.90%
2014年11月13日 (10月),14:30,7.70%,8.00%,8.00%
2014年12月12日 (11月),14:30,7.20%,7.50%,7.70%
2015年1月20日 (12月),11:00,7.90%,7.40%,7.20%
2015年3月11日 (2月),14:30,6.80%,7.80%,7.90%
2015年4月15日 (3月),11:00,5.60%,6.90%,6.80%
2015年5月13日 (4月),14:30,5.90%,6.00%,5.60%
2015年6月11日 (5月),14:30,6.10%,6.00%,5.90%
