公表日,時間,結果,予想,前回
2020/7,23:00,5.90%,3.00%,15.80%
2020/8,23:00,8.80%,3.20%,5.90%
2020/9,23:00,-2.00%,3.40%,8.80%
2020/10,0:00,-0.90%,1.00%,-2.00%
2020/11,0:00,-2.50%,0.20%,-0.90%
2020/12,0:00,0.50%,-0.10%,-2.50%
2021/1,0:00,-2.40%,-0.20%,0.50%
2021/2,23:00,-11.50%,-2.60%,-2.40%
2021/3,23:00,1.70%,5.00%,-11.50%
2021/4,23:00,-4.40%,0.80%,1.70%
2021/5,23:00,8.30%,-0.80%,-4.40%
2021/6,23:00,-2.00%,0.30%,8.30%
2021/7,23:00,-2.00%,0.40%,-2.00%
2021/8,23:00,8.10%,1.40%,-2.00%
2021/9,23:00,-2.40%,0.50%,8.10%
2021/10,0:00,7.50%,0.90%,-2.40%
2021/11,0:00,-2.30%,0.50%,7.50%
2021/12,0:00,-2.30%,-0.20%,-2.30%
2022/1,0:00,-5.80%,1.00%,-2.30%
2022/2,23:00,-4.00%,1.00%,-5.80%
2022/3,23:00,-1.60%,-1.60%,-4.00%
2022/4,23:00,-4.00%,-2.00%,-1.60%
2022/5,23:00,0.40%,-3.70%,-4.00%
2022/6,23:00,-8.90%,-1.50%,0.40%
2022/7,23:00,-0.60%,-4.00%,-8.90%
2022/8,23:00,-1.90%,-1.40%,-0.60%
2022/9,23:00,-8.70%,-5.00%,-1.90%
2022/10,0:00,-4.60%,-5.00%,-8.70%
2022/11,0:00,-2.60%,-0.80%,-4.60%
2022/12,0:00,1.10%,-0.90%,-2.60%
2023/1,0:00,8.10%,1.00%,1.10%
2023/2,23:00,0.80%,-2.30%,8.10%
2023/3,23:00,-5.20%,0.50%,0.80%
2023/4,23:00,-0.40%,0.50%,-5.20%
2023/5,23:00,-2.50%,-0.50%,-0.40%
2023/6,23:00,0.40%,-0.50%,-2.50%
2023/7,23:00,0.50%,-0.60%,0.40%
2023/8,23:00,-7.10%,-0.80%,0.50%
2023/9,23:00,1.00%,-1.80%,-7.10%
2023/10,0:00,-1.20%,-2.00%,1.00%
2023/11,0:00,0.00%,1.00%,-1.20%
2023/12,0:00,5.70%,1.50%,0.00%
2024/1,0:00,-4.70%,1.40%,5.70%
2024/2,23:00,1.60%,1.40%,-4.70%
2024/3,23:00,3.60%,0.30%,1.60%
2024/4,23:00,-7.70%,-1.10%,3.60%
2024/5,23:00,-1.90%,0.60%,-7.70%
2024/6,23:00,4.80%,1.40%,-1.90%
2024/7,23:00,-5.50%,0.20%,4.80%
2024/8,23:00,0.60%,0.90%,-5.50%
2024/9,23:00,7.50%,1.90%,0.60%
2024/10,0:00,1.80%,-2.10%,7.50%
2024/11,0:00,1.60%,0.90%,1.80%
2024/12,0:00,-4.10%,0.00%,1.60%
2025/1,0:00,-4.60%,-0.90%,-4.10%
2025/2,23:00,2.10%,0.90%,-4.60%
2025/3,23:00,5.50%,0.90%,2.10%
2025/4,23:00,-6.30%,-0.90%,5.50%
2025/5,23:00,1.80%,0.20%,-6.30%
2025/6,23:00,-0.80%,0.20%,1.80%
2025/7,23:00,-0.30%,-0.40%,-0.80%
2025/8,23:00,4.20%,0.20%,-0.30%
2025/9,23:00,0.10%,1.60%,4.20%
2025/10,0:00,2.40%,0.50%,0.10%
2025/11,0:00,3.30%,1.00%,2.40%
2025/12,,,,
