公表日,時間,結果,予想,前回
2023/7,23:00,117,111.8,110.1
2023/8,23:00,106.1,116,114
2023/9,23:00,103,105.5,108.7
2023/10,23:00,102.6,100,104.3
2023/11,0:00,102,101,99.1
2023/12,0:00,110.7,103.8,101
2024/1,0:00,114.8,114.2,108
2024/2,0:00,106.7,114.8,110.9
2024/3,23:00,104.7,106.9,104.8
2024/4,23:00,97,104,103.1
2024/5,23:00,102,96,97.5
2024/6,23:00,100.4,100,101.3
2024/7,23:00,100.3,99.7,97.8
2024/8,23:00,103.3,100.9,101.9
2024/9,23:00,98.7,103.9,105.6
2024/10,23:00,108.7,99.5,99.2
2024/11,0:00,111.7,111.8,109.6
2024/12,0:00,104.7,112.9,112.8
2025/1,0:00,104.1,105.7,109.5
2025/2,0:00,98.3,102.7,105.3
2025/3,23:00,92.9,94.2,100.1
2025/4,23:00,86,87.7,93.9
2025/5,23:00,98,87.1,85.7
2025/6,23:00,93,99.4,98.4
2025/7,23:00,97.2,95.9,95.2
2025/8,23:00,97.4,96.4,98.7
2025/9,23:00,94.2,96,97.8
2025/10,23:00,94.6,93.4,95.6
2025/11,0:00,88.7,93.5,95.5
2025/12,0:00,89.1,91.7,92.9
