日付,売残,買残,売残増減,買残増減,信用倍率
2025/9/5,"202,414","3,435,561","11,488","5,268",16.97
2025/9/12,"203,417","4,541,190","1,003","1,105,629",22.32
2025/9/19,"216,114","4,879,652","12,697","338,462",22.58
2025/9/26,"208,139","4,864,966","-7,975","-14,686",23.37
2025/10/3,"207,207","5,104,244",-932,"239,278",24.63
2025/10/10,"236,333","4,691,182","29,126","-413,062",19.85
2025/10/17,"270,323","3,980,656","33,990","-710,526",14.73
2025/10/24,"287,516","4,403,065","17,193","422,409",15.31
2025/10/31,"266,056","4,786,762","-21,460","383,697",17.99
2025/11/7,"319,480","3,724,731","53,424","-1,062,031",11.66
2025/11/14,"353,055","3,715,380","33,575","-9,351",10.52
2025/11/21,"495,561","3,148,236","142,506","-567,144",6.35
2025/11/28,"475,343","3,557,290","-20,218","409,054",7.48
2025/12/5,"462,290","3,519,086","-13,053","-38,204",7.61
2025/12/12,"451,142","3,776,715","-11,148","257,629",8.37
2025/12/19,"515,297","2,992,564","64,155","-784,151",5.81
2025/12/26,"484,246","3,302,757","-31,051","310,193",6.82
2026/1/9,"489,189","3,599,658","4,943","296,901",7.36
2026/1/16,"512,870","3,990,458","23,681","390,800",7.78
2026/1/23,"673,990","4,244,630","161,120","254,172",6.3
2026/1/30,"810,986","2,959,690","136,996","-1,284,940",3.65
2026/2/6,"881,623","3,102,635","70,637","142,945",3.52
2026/2/13,"742,121","3,917,756","-139,502","815,121",5.28
2026/2/20,"818,269","3,466,033","76,148","-451,723",4.24
2026/2/27,"707,488","4,056,252","-110,781","590,219",5.73
