公表日,時間,結果,予想,前回
2021/8,21:30,2.50%,-0.10%,-1.90%
2021/9,21:30,0.80%,0.40%,2.60%
2021/10,22:30,1.60%,0.90%,0.50%
2021/11,22:30,-0.10%,0.70%,1.80%
2021/12,22:30,-3.10%,0.10%,-0.50%
2022/1,22:30,4.80%,1.00%,-4.00%
2022/2,21:30,-1.20%,0.40%,6.70%
2022/3,21:30,-0.10%,0.20%,-0.90%
2022/4,21:30,1.00%,0.50%,1.10%
2022/5,21:30,0.00%,0.50%,0.50%
2022/6,21:30,0.80%,0.30%,-0.30%
2022/7,21:30,0.80%,0.60%,0.70%
2022/8,21:30,0.4,,0.8
2022/9,22:30,0.40%,0.30%,0.20%
2022/10,22:30,0.70%,0.30%,0.60%
2022/11,22:30,-0.20%,0.20%,0.50%
2022/12,22:30,-0.70%,-0.30%,-0.20%
2023/1,21:30,1.70%,0.80%,-0.70%
2023/2,21:30,0.50%,-0.30%,2.30%
2023/3,21:30,-0.30%,-0.30%,0.50%
2023/4,21:30,0.70%,0.30%,-0.40%
2023/5,21:30,0.20%,0.00%,0.60%
2023/6,21:30,0.60%,-0.30%,0.30%
2023/7,21:30,1.00%,0.20%,0.50%
2023/8,21:30,0.10%,,0.70%
2023/9,22:30,0.60%,0.10%,0.20%
2023/10,22:30,0.20%,,0.70%
2023/11,22:30,0.40%,,0.20%
2023/12,22:30,0.80%,,0.50%
2024/1,21:30,-0.40%,0.20%,0.60%
2024/2,21:30,0.00%,,-0.30%
2024/3,21:30,1.10%,0.40%,0.30%
2024/4,21:30,-0.30%,,1.00%
2024/5,21:30,0.40%,0.40%,-0.50%
2024/6,21:30,0.90%,0.20%,0.40%
2024/7,21:30,0.30%,,0.90%
2024/8,21:30,0.30%,0.30%,0.40%
2024/9,22:30,0.70%,,0.30%
2024/10,22:30,-0.10%,0.30%,1.20%
2024/11,22:30,0.40%,0.40%,-0.10%
2024/12,22:30,0.70%,0.40%,0.40%
2025/1,21:30,-0.80%,0.30%,0.80%
2025/2,21:30,1.00%,0.20%,-1.00%
2025/3,21:30,0.40%,0.60%,1.30%
2025/4,21:30,-0.20%,0.30%,0.50%
2025/5,21:30,0.40%,0.30%,-0.10%
2025/6,21:30,0.50%,0.30%,0.20%
2025/7,21:30,0.50%,0.40%,0.80%
2025/8,22:30,0.70%,0.40%,0.50%
2025/9,22:30,-0.10%,0.30%,0.60%
2025/10,23:30,0.80%,0.40%,-0.10%
