公表日,時間,結果,予想,前回
"Jan 01, 2020",6:30,-7.8M,,-7.9M
"Jan 08, 2020",4:30,-5.945M,,-7.8M
"Jan 15, 2020",4:30,1.1M,,-5.945M
"Jan 23, 2020",4:30,1.6M,,1.1M
"Jan 29, 2020",4:30,-4.267M,,1.6M
"Feb 05, 2020",4:30,4.18M,,-4.27M
"Feb 12, 2020",4:30,6M,,4.18M
"Feb 20, 2020",4:30,4.2M,,6M
"Feb 26, 2020",4:30,1.3M,,4.2M
"Mar 04, 2020",4:45,1.69M,,1.3M
"Mar 11, 2020",4:30,6.407M,,1.69M
"Mar 18, 2020",3:30,-0.421M,,6.407M
"Mar 25, 2020",3:30,-1.25M,,-0.421M
"Apr 01, 2020",2:30,10.485M,,-1.25M
"Apr 08, 2020",2:30,11.938M,,10.485M
"Apr 15, 2020",2:30,13.143M,,11.938M
"Apr 22, 2020",2:30,13.226M,,13.143M
"Apr 29, 2020",2:30,10M,,13.226M
"May 06, 2020",2:30,8.4M,,10M
"May 13, 2020",2:30,7.58M,,8.4M
"May 20, 2020",2:30,-4.8M,,7.58M
"May 28, 2020",2:30,8.7M,,-4.8M
"Jun 03, 2020",2:30,-0.5M,,8.7M
"Jun 10, 2020",2:30,8.4M,,-0.5M
"Jun 17, 2020",2:30,3.9M,,8.4M
"Jun 24, 2020",2:30,1.7M,,3.9M
"Jul 01, 2020",2:30,-8.156M,,1.749M
"Jul 08, 2020",2:30,2M,,-8.156M
"Jul 15, 2020",2:30,-8.322M,,2M
"Jul 22, 2020",2:30,7.544M,,-8.322M
"Jul 29, 2020",2:30,-6.829M,,7.544M
"Aug 05, 2020",2:30,-8.587M,,-6.829M
"Aug 12, 2020",2:30,-4.4M,,-8.587M
"Aug 19, 2020",2:30,-4.3M,,-4.4M
"Aug 26, 2020",2:30,-4.5M,,-4.3M
"Sep 02, 2020",2:45,-6.36M,-1.95M,-4.524M
"Sep 10, 2020",2:30,2.97M,,-6.36M
"Sep 16, 2020",2:30,-9.517M,2.049M,2.97M
"Sep 23, 2020",2:30,0.691M,-2.256M,-9.517M
"Sep 30, 2020",2:30,-0.831M,1.4M,0.691M
"Oct 07, 2020",2:30,0.951M,0.4M,-0.831M
"Oct 15, 2020",2:30,-5.422M,-3.387M,0.951M
"Oct 21, 2020",2:30,0.584M,-0.24M,-5.422M
"Oct 28, 2020",3:30,4.577M,,0.584M
"Nov 04, 2020",4:30,-8.01M,1.964M,4.577M
"Nov 11, 2020",4:30,-5.147M,-1.333M,-8.01M
"Nov 18, 2020",4:30,4.174M,1.95M,-5.147M
"Nov 25, 2020",4:30,3.8M,-0.333M,4.174M
"Dec 02, 2020",4:30,4.1M,-2.272M,3.8M
"Dec 09, 2020",4:30,1.141M,-1.514M,4.146M
"Dec 16, 2020",4:30,1.973M,-3.5M,1.141M
"Dec 23, 2020",4:30,2.7M,-3.25M,1.973M
"Dec 30, 2020",4:30,-4.785M,-2.1M,2.7M
"Jan 06, 2021",4:30,-1.663M,-1.5M,-4.785M
"Jan 13, 2021",4:30,-5.821M,-2.72M,-1.663M
"Jan 21, 2021",4:30,2.562M,-0.28M,-5.821M
"Jan 27, 2021",4:30,-5.272M,0.603M,2.562M
"Feb 03, 2021",4:30,-4.261M,0.367M,-5.272M
"Feb 10, 2021",4:30,-3.5M,1.34M,-4.261M
"Feb 18, 2021",4:30,-5.8M,-2.175M,-3.5M
"Feb 24, 2021",4:30,1.026M,-5.372M,-5.8M
"Mar 03, 2021",4:30,7.356M,-1.85M,1.026M
"Mar 10, 2021",4:30,12.792M,-0.833M,7.356M
"Mar 17, 2021",3:30,-1M,2.715M,12.792M
"Mar 24, 2021",3:30,2.927M,-0.9M,-1M
"Mar 31, 2021",2:30,3.91M,0.4M,2.927M
"Apr 07, 2021",2:30,-2.618M,-1.325M,3.91M
"Apr 14, 2021",2:30,-3.608M,-2.154M,-2.618M
"Apr 21, 2021",2:30,0.436M,-2.86M,-3.608M
"Apr 28, 2021",2:30,4.319M,0.375M,0.436M
"May 05, 2021",2:30,-7.7M,-2.191M,4.319M
"May 12, 2021",2:30,-2.533M,-2.25M,-7.688M
"May 19, 2021",2:30,0.62M,1.68M,-2.533M
"May 26, 2021",2:30,-0.439M,-1.279M,0.62M
"Jun 03, 2021",2:30,-5.36M,-2.114M,-0.439M
"Jun 09, 2021",2:30,-2.108M,-3.576M,-5.36M
"Jun 16, 2021",2:30,-8.537M,-3M,-2.108M
"Jun 23, 2021",2:30,-7.199M,-3.625M,-8.537M
"Jun 30, 2021",2:30,-8.153M,-4.46M,-7.199M
"Jul 08, 2021",2:30,-7.983M,-3.925M,-8.153M
"Jul 14, 2021",2:30,-4.079M,-4.333M,-7.983M
"Jul 21, 2021",2:30,0.806M,-4.167M,-4.079M
"Jul 28, 2021",2:30,-4.728M,-3.433M,0.806M
"Aug 04, 2021",2:30,-0.879M,-2.9M,-4.728M
"Aug 11, 2021",2:30,-0.816M,-1.05M,-0.879M
"Aug 18, 2021",5:30,-1.163M,-1.259M,-0.816M
"Aug 25, 2021",5:30,-1.622M,-2.367M,-1.163M
"Sep 01, 2021",5:30,-4.045M,-2.833M,-1.622M
"Sep 09, 2021",5:30,-2.882M,-3.832M,-4.045M
"Sep 15, 2021",5:30,-5.437M,-3.903M,-2.882M
"Sep 22, 2021",5:30,-6.108M,-2.4M,-5.437M
"Sep 29, 2021",5:30,4.127M,-2.333M,-6.108M
"Oct 06, 2021",5:30,0.951M,-0.3M,4.127M
"Oct 14, 2021",5:30,5.213M,0.14M,0.951M
"Oct 20, 2021",5:30,3.294M,2.233M,5.213M
"Oct 27, 2021",5:30,2.318M,1.65M,3.294M
"Nov 03, 2021",5:30,3.594M,1.567M,2.318M
"Nov 10, 2021",6:30,-2.485M,1.9M,3.594M
"Nov 17, 2021",6:30,0.655M,1.55M,-2.485M
"Nov 24, 2021",6:30,2.307M,-0.95M,0.655M
"Dec 01, 2021",6:30,-0.747M,-1.667M,2.307M
"Dec 08, 2021",6:30,-3.089M,2.093M,-0.747M
"Dec 15, 2021",6:30,-0.815M,-2.6M,-3.089M
"Dec 22, 2021",6:30,-3.67M,-2.633M,-0.815M
"Dec 29, 2021",6:30,-3.091M,-3.233M,-3.67M
"Jan 05, 2022",6:30,-6.432M,-3.4M,-3.091M
"Jan 12, 2022",6:30,-1.077M,-1.95M,-6.432M
"Jan 20, 2022",6:30,1.404M,-1.367M,-1.077M
"Jan 26, 2022",6:30,-0.872M,-0.4M,1.404M
"Feb 02, 2022",6:30,-1.645M,1.833M,-0.872M
"Feb 09, 2022",6:30,-2.025M,0.675M,-1.645M
"Feb 16, 2022",6:30,-1.076M,-1.769M,-2.025M
"Feb 24, 2022",6:30,5.983M,0.767M,-1.076M
"Mar 02, 2022",6:30,-6.1M,2.796M,5.983M
"Mar 09, 2022",6:30,2.811M,-0.833M,-6.1M
"Mar 16, 2022",5:30,3.754M,-1.867M,2.811M
"Mar 23, 2022",5:30,-4.28M,0.025M,3.754M
"Mar 30, 2022",5:30,-3M,-1.558M,-4.28M
"Apr 06, 2022",5:30,1.08M,-2.056M,-3M
"Apr 13, 2022",5:30,7.757M,1.367M,1.08M
"Apr 20, 2022",5:30,-4.496M,2.533M,7.757M
"Apr 27, 2022",5:30,4.784M,2M,-4.496M
"May 04, 2022",5:30,-3.479M,-1.167M,4.78M
"May 11, 2022",5:30,1.618M,-0.457M,-3.479M
"May 18, 2022",5:30,-2.445M,1.533M,1.618M
"May 25, 2022",5:30,0.567M,-0.69M,-2.445M
"Jun 02, 2022",5:30,-1.181M,-0.067M,0.567M
"Jun 08, 2022",5:30,1.845M,-1.8M,-1.181M
"Jun 15, 2022",5:30,0.736M,-1.314M,1.845M
"Jun 23, 2022",5:30,5.607M,-1.433M,0.736M
"Jun 29, 2022",5:30,-3.799M,-0.106M,5.607M
"Jul 07, 2022",5:30,3.825M,-1.1M,-3.799M
"Jul 13, 2022",5:30,4.762M,-1.933M,3.825M
"Jul 20, 2022",5:30,1.86M,0.333M,4.762M
"Jul 27, 2022",5:30,-4.037M,-1.121M,1.86M
"Aug 03, 2022",5:30,2.165M,-0.629M,-4.037M
"Aug 10, 2022",5:30,2.156M,0.073M,2.165M
"Aug 17, 2022",5:30,-0.448M,-0.117M,2.156M
"Aug 24, 2022",5:30,-5.632M,,-0.448M
"Aug 31, 2022",5:30,0.593M,-0.633M,-5.632M
"Sep 08, 2022",5:30,3.645M,-0.733M,0.593M
"Sep 14, 2022",5:30,6.035M,-0.2M,3.645M
"Sep 21, 2022",5:30,1.035M,2.321M,6.035M
"Sep 28, 2022",5:30,4.15M,0.333M,1.035M
"Oct 05, 2022",5:30,-1.77M,1.966M,4.15M
"Oct 13, 2022",5:30,7.1M,,-1.77M
"Oct 19, 2022",5:30,-1.27M,1.551M,7.054M
"Oct 26, 2022",5:30,4.52M,0.2M,-1.27M
